# This file was produced by bcftools stats (1.23+htslib-1.23) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  01_Data/02_Filtered/Ulithi23_ULFMv1.pop.allsites.variant_sites.filt.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	01_Data/02_Filtered/Ulithi23_ULFMv1.pop.allsites.variant_sites.filt.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	100
SN	0	number of records:	428767
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	428727
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	192161	236566	0.81	192161	236566	0.81
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	428727	192161	236566	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	428727	192161	236566	0	0	0	0
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.0	183	79	104	0
QUAL	0	30.1	162	74	88	0
QUAL	0	30.2	158	60	98	0
QUAL	0	30.3	157	61	96	0
QUAL	0	30.4	160	60	100	0
QUAL	0	30.5	179	77	102	0
QUAL	0	30.6	161	74	87	0
QUAL	0	30.7	170	77	93	0
QUAL	0	30.8	154	62	92	0
QUAL	0	30.9	188	79	109	0
QUAL	0	31.0	179	70	109	0
QUAL	0	31.1	188	71	117	0
QUAL	0	31.2	171	83	88	0
QUAL	0	31.3	176	77	99	0
QUAL	0	31.4	179	67	112	0
QUAL	0	31.5	150	61	89	0
QUAL	0	31.6	183	76	107	0
QUAL	0	31.7	191	88	103	0
QUAL	0	31.8	195	73	122	0
QUAL	0	31.9	166	63	103	0
QUAL	0	32.0	169	76	93	0
QUAL	0	32.1	160	83	77	0
QUAL	0	32.2	144	65	79	0
QUAL	0	32.3	171	81	90	0
QUAL	0	32.4	170	64	106	0
QUAL	0	32.5	175	81	94	0
QUAL	0	32.6	180	82	98	0
QUAL	0	32.7	166	75	91	0
QUAL	0	32.8	183	85	98	0
QUAL	0	32.9	181	84	97	0
QUAL	0	33.0	156	70	86	0
QUAL	0	33.1	151	63	88	0
QUAL	0	33.2	140	55	85	0
QUAL	0	33.3	159	79	80	0
QUAL	0	33.4	170	58	112	0
QUAL	0	33.5	152	73	79	0
QUAL	0	33.6	160	66	94	0
QUAL	0	33.7	169	78	91	0
QUAL	0	33.8	151	63	88	0
QUAL	0	33.9	169	84	85	0
QUAL	0	34.0	161	72	89	0
QUAL	0	34.1	183	79	104	0
QUAL	0	34.2	176	60	116	0
QUAL	0	34.3	169	67	102	0
QUAL	0	34.4	182	79	103	0
QUAL	0	34.5	169	67	102	0
QUAL	0	34.6	165	77	88	0
QUAL	0	34.7	167	62	105	0
QUAL	0	34.8	160	68	92	0
QUAL	0	34.9	152	62	90	0
QUAL	0	35.0	161	65	96	0
QUAL	0	35.1	152	67	85	0
QUAL	0	35.2	127	56	71	0
QUAL	0	35.3	175	87	88	0
QUAL	0	35.4	146	66	80	0
QUAL	0	35.5	153	62	91	0
QUAL	0	35.6	153	71	82	0
QUAL	0	35.7	175	70	105	0
QUAL	0	35.8	140	57	83	0
QUAL	0	35.9	163	69	94	0
QUAL	0	36.0	179	73	106	0
QUAL	0	36.1	175	80	95	0
QUAL	0	36.2	164	66	98	0
QUAL	0	36.3	166	64	102	0
QUAL	0	36.4	159	76	83	0
QUAL	0	36.5	184	81	103	0
