INDV	N_SITES	MEAN_DEPTH
M001	467241	31.5044
M002	467238	31.3038
M003	467254	33.258
M004	467243	31.2084
M005	467219	28.0624
M006	467209	27.4154
M007	467203	31.8476
M008	467234	32.939
M009	467240	30.8801
M010	467255	32.8136
M011	467215	28.0912
M012	467243	28.5543
M013	467242	28.9054
M014	467211	34.2826
M015	467220	31.0142
M016	467239	33.8061
M017	467265	35.9467
M018	467256	32.404
M019	467214	28.2757
M020	467242	34.7849
M021	467227	31.0674
M022	467246	31.0966
M023	467228	30.0663
M024	467243	29.9616
M025	467223	29.7544
M026	467247	31.3591
M027	467218	31.1655
M028	467237	37.5377
M029	467223	31.2308
M030	467228	29.7132
M031	467232	29.8069
M032	467256	31.1421
M033	467221	31.4434
M034	467236	30.4879
M035	467242	34.2492
M036	467235	29.0549
M037	467230	34.583
M038	467235	30.7333
M039	467239	33.6675
M040	467205	28.5363
M041	467211	30.7091
M042	467238	31.3925
M043	467221	37.4592
M044	467234	30.0696
M045	467255	35.5064
M046	467232	31.0764
M047	467256	33.6094
M048	467239	31.502
M049	467231	26.5311
M050	467237	30.2042
M051	467219	30.5675
M052	467218	29.7216
M053	467227	31.3908
M054	467251	35.0548
M055	467231	28.8782
M056	467229	29.198
M057	467232	28.7472
M058	467261	28.534
M059	467227	32.8845
M060	467260	34.5032
M071	467227	29.4521
M072	467244	34.1062
M073	467225	32.1003
M074	467248	36.6993
M075	467219	33.1793
M076	467251	34.1926
M077	467230	26.6466
M078	467235	29.1707
M079	467226	30.0329
M080	467232	31.0239
M081	467227	31.1283
M082	467256	30.9969
M083	467223	28.8833
M084	467227	30.7449
M085	467226	30.735
M086	467238	29.9324
M087	467230	29.6928
M088	467243	36.5457
M089	467236	27.3703
M090	467232	31.0896
M091	467244	32.8001
M092	467235	27.669
M093	467243	29.4631
M094	467258	32.9173
M095	467237	28.2113
M096	467236	31.5403
M097	467231	28.7312
M098	467233	32.1076
M099	467235	32.1884
M100	467237	26.6895
M101	467209	30.8061
M102	467242	28.8756
M103	467242	31.1337
M104	467212	28.8732
M105	467211	28.1846
M106	467226	31.1549
M107	467223	29.6317
M108	467206	26.6106
M109	467250	29.4468
M110	467234	29.0484
