INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
M001	467333	0	14512	0.0310528
M002	467333	0	6925	0.0148181
M003	467333	0	10406	0.0222668
M004	467333	0	9233	0.0197568
M005	467333	0	8391	0.0179551
M006	467333	0	20919	0.0447625
M007	467333	0	12257	0.0262276
M008	467333	0	7228	0.0154665
M009	467333	0	7049	0.0150835
M010	467333	0	10265	0.0219651
M011	467333	0	21889	0.0468381
M012	467333	0	6854	0.0146662
M013	467333	0	7204	0.0154151
M014	467333	0	9814	0.021
M015	467333	0	9316	0.0199344
M016	467333	0	8376	0.017923
M017	467333	0	9733	0.0208267
M018	467333	0	7942	0.0169943
M019	467333	0	9275	0.0198467
M020	467333	0	10998	0.0235335
M021	467333	0	5997	0.0128324
M022	467333	0	7743	0.0165685
M023	467333	0	9130	0.0195364
M024	467333	0	8393	0.0179594
M025	467333	0	8347	0.0178609
M026	467333	0	8344	0.0178545
M027	467333	0	19817	0.0424045
M028	467333	0	12881	0.0275628
M029	467333	0	28361	0.0606869
M030	467333	0	9057	0.0193802
M031	467333	0	9923	0.0212333
M032	467333	0	9676	0.0207047
M033	467333	0	11954	0.0255792
M034	467333	0	8922	0.0190913
M035	467333	0	8087	0.0173046
M036	467333	0	7699	0.0164743
M037	467333	0	10535	0.0225428
M038	467333	0	10021	0.021443
M039	467333	0	9772	0.0209101
M040	467333	0	10789	0.0230863
M041	467333	0	10644	0.0227761
M042	467333	0	7458	0.0159586
M043	467333	0	15421	0.0329979
M044	467333	0	7926	0.0169601
M045	467333	0	8632	0.0184708
M046	467333	0	7850	0.0167974
M047	467333	0	8584	0.0183681
M048	467333	0	7383	0.0157982
M049	467333	0	8677	0.0185671
M050	467333	0	7817	0.0167268
M051	467333	0	7752	0.0165877
M052	467333	0	7792	0.0166733
M053	467333	0	9345	0.0199964
M054	467333	0	11485	0.0245756
M055	467333	0	7525	0.016102
M056	467333	0	7644	0.0163566
M057	467333	0	7824	0.0167418
M058	467333	0	8500	0.0181883
M059	467333	0	10993	0.0235228
M060	467333	0	11307	0.0241947
M071	467333	0	8336	0.0178374
M072	467333	0	9681	0.0207154
M073	467333	0	9365	0.0200392
M074	467333	0	11412	0.0244194
M075	467333	0	11748	0.0251384
M076	467333	0	8275	0.0177069
M077	467333	0	9854	0.0210856
M078	467333	0	6310	0.0135021
M079	467333	0	6827	0.0146084
M080	467333	0	6765	0.0144758
M081	467333	0	7775	0.016637
M082	467333	0	6739	0.0144201
M083	467333	0	8269	0.017694
M084	467333	0	6239	0.0133502
M085	467333	0	6196	0.0132582
M086	467333	0	7140	0.0152782
M087	467333	0	7056	0.0150984
M088	467333	0	12064	0.0258146
M089	467333	0	8217	0.0175828
M090	467333	0	8365	0.0178994
M091	467333	0	7502	0.0160528
M092	467333	0	9615	0.0205742
M093	467333	0	10136	0.021689
M094	467333	0	7222	0.0154536
M095	467333	0	6809	0.0145699
M096	467333	0	7023	0.0150278
M097	467333	0	7421	0.0158795
M098	467333	0	9588	0.0205164
M099	467333	0	9545	0.0204244
M100	467333	0	7966	0.0170457
M101	467333	0	11107	0.0237668
M102	467333	0	7712	0.0165022
M103	467333	0	7495	0.0160378
M104	467333	0	8416	0.0180086
M105	467333	0	11070	0.0236876
M106	467333	0	9963	0.0213188
M107	467333	0	8789	0.0188067
M108	467333	0	14231	0.0304515
M109	467333	0	9722	0.0208032
M110	467333	0	8362	0.017893
