sample_full,sample_id,genus,genus_count,genus_prop_of_symbiodiniaceae_total,symbiodiniaceae_total,eukaryota_total,bacteria_toal,total_read_count,site
M1-1.k2_mpa_report,M1,Symbiodinium,54780,0.069758024464972,785286,103426478,470232,103896710,Falalop
M1-1.k2_mpa_report,M1,Breviolum,21496,0.027373466482275247,785286,103426478,470232,103896710,Falalop
M1-1.k2_mpa_report,M1,Cladocopium,491086,0.6253594231910412,785286,103426478,470232,103896710,Falalop
M1-1.k2_mpa_report,M1,Durusdinium,59607,0.07590482957801362,785286,103426478,470232,103896710,Falalop
M1-1.k2_mpa_report,M1,Effrenium,22877,0.02913206144003586,785286,103426478,470232,103896710,Falalop
M1-1.k2_mpa_report,M1,Fugacium,115777,0.14743290979337464,785286,103426478,470232,103896710,Falalop
M10-1.k2_mpa_report,M10,Symbiodinium,92676,0.04417124579442326,2098107,107399996,145690,107545686,Falalop
M10-1.k2_mpa_report,M10,Breviolum,40526,0.01931550678778537,2098107,107399996,145690,107545686,Falalop
M10-1.k2_mpa_report,M10,Cladocopium,1675271,0.7984678569777424,2098107,107399996,145690,107545686,Falalop
M10-1.k2_mpa_report,M10,Durusdinium,63606,0.030315899046140165,2098107,107399996,145690,107545686,Falalop
M10-1.k2_mpa_report,M10,Effrenium,33563,0.01599680092578691,2098107,107399996,145690,107545686,Falalop
M10-1.k2_mpa_report,M10,Fugacium,146809,0.06997212248946312,2098107,107399996,145690,107545686,Falalop
M100-1.k2_mpa_report,M100,Symbiodinium,47304,0.04236709009276086,1116527,84116036,118415,84234451,Sohng
M100-1.k2_mpa_report,M100,Breviolum,23081,0.02067213779872766,1116527,84116036,118415,84234451,Sohng
M100-1.k2_mpa_report,M100,Cladocopium,870914,0.780020545853347,1116527,84116036,118415,84234451,Sohng
M100-1.k2_mpa_report,M100,Durusdinium,40771,0.03651591049746222,1116527,84116036,118415,84234451,Sohng
M100-1.k2_mpa_report,M100,Effrenium,19854,0.017781925560241715,1116527,84116036,118415,84234451,Sohng
M100-1.k2_mpa_report,M100,Fugacium,90374,0.08094206409697213,1116527,84116036,118415,84234451,Sohng
M101-1.k2_mpa_report,M101,Symbiodinium,43929,0.0520313782529235,844279,95693645,75721,95769366,Yealeil
M101-1.k2_mpa_report,M101,Breviolum,16220,0.019211658705238433,844279,95693645,75721,95769366,Yealeil
M101-1.k2_mpa_report,M101,Cladocopium,652829,0.7732384673786746,844279,95693645,75721,95769366,Yealeil
M101-1.k2_mpa_report,M101,Durusdinium,29198,0.03458335455459629,844279,95693645,75721,95769366,Yealeil
M101-1.k2_mpa_report,M101,Effrenium,16008,0.018960556877525084,844279,95693645,75721,95769366,Yealeil
M101-1.k2_mpa_report,M101,Fugacium,67908,0.08043312696395385,844279,95693645,75721,95769366,Yealeil
M102-1.k2_mpa_report,M102,Symbiodinium,48948,0.051868178446540215,943700,88493318,91426,88584744,Yealeil
M102-1.k2_mpa_report,M102,Breviolum,18097,0.01917664512027127,943700,88493318,91426,88584744,Yealeil
M102-1.k2_mpa_report,M102,Cladocopium,747068,0.7916371728303486,943700,88493318,91426,88584744,Yealeil
M102-1.k2_mpa_report,M102,Durusdinium,29653,0.031422062096005086,943700,88493318,91426,88584744,Yealeil
M102-1.k2_mpa_report,M102,Effrenium,12648,0.013402564374271484,943700,88493318,91426,88584744,Yealeil
M102-1.k2_mpa_report,M102,Fugacium,66797,0.0707820281869238,943700,88493318,91426,88584744,Yealeil
M103-1.k2_mpa_report,M103,Symbiodinium,73620,0.04471161554569792,1646552,96152267,97934,96250201,Yealeil
M103-1.k2_mpa_report,M103,Breviolum,28889,0.01754514889295935,1646552,96152267,97934,96250201,Yealeil
M103-1.k2_mpa_report,M103,Cladocopium,1355344,0.8231407207303505,1646552,96152267,97934,96250201,Yealeil
M103-1.k2_mpa_report,M103,Durusdinium,39569,0.024031430528765566,1646552,96152267,97934,96250201,Yealeil
M103-1.k2_mpa_report,M103,Effrenium,20523,0.012464228278244477,1646552,96152267,97934,96250201,Yealeil
M103-1.k2_mpa_report,M103,Fugacium,93169,0.05658430465603273,1646552,96152267,97934,96250201,Yealeil
M104-1.k2_mpa_report,M104,Symbiodinium,81530,0.04868014879299742,1674810,90803281,159226,90962507,Yealeil
M104-1.k2_mpa_report,M104,Breviolum,32194,0.019222478967763506,1674810,90803281,159226,90962507,Yealeil
M104-1.k2_mpa_report,M104,Cladocopium,1361797,0.8131053671759781,1674810,90803281,159226,90962507,Yealeil
M104-1.k2_mpa_report,M104,Durusdinium,43776,0.02613789026814982,1674810,90803281,159226,90962507,Yealeil
M104-1.k2_mpa_report,M104,Effrenium,17929,0.010705094906287878,1674810,90803281,159226,90962507,Yealeil
M104-1.k2_mpa_report,M104,Fugacium,102658,0.06129531110991695,1674810,90803281,159226,90962507,Yealeil
M105-1.k2_mpa_report,M105,Symbiodinium,50553,0.05812105938458567,869788,86951467,73937,87025404,Yealeil
M105-1.k2_mpa_report,M105,Breviolum,17065,0.01961972342685804,869788,86951467,73937,87025404,Yealeil
