sample_id,sample_name,run,batch,order
M001,M1,ECL09565,6,6
M002,M2,ECL09564,6,5
M003,M3,ECL09483,4,23
M004,M4,ECL09434,3,8
M005,M5,ECL09439,3,13
M006,M6,ECL09482,4,22
M007,M7,ECL09436,3,10
M008,M8,ECL09474,4,14
M009,M9,ECL09471,4,11
M010,M10,ECL09433,3,7
M011,M11,ECL09487,4,27
M012,M12,ECL09584,6,25
M013,M13,ECL09463,4,3
M014,M14,ECL09585,6,26
M015,M15.1,ECL09467,4,7
M015,M15.2,ECL09569,6,10
M016,M16,ECL09577,6,18
M017,M17,ECL09470,4,10
M018,M18,ECL09427,3,1
M019,M19,ECL09447-2,3,21
M020,M20.1,ECL09445,3,19
M020,M20.2,ECL09571,6,12
M021,M21,ECL09576,6,17
M022,M22,ECL09481,4,21
M023,M23,ECL09580,6,21
M024,M24.1,ECL09518,5,11
M024,M24.2,ECL09527,5,20
M025,M25,ECL09510,5,3
M026,M26.1,ECL09444,3,18
M026,M26.2,ECL09469,4,9
M027,M27,ECL09509,5,2
M028,M28,ECL09466,4,6
M030,M30.1,ECL09441-2,3,15
M030,M30.2,ECL09461,4,1
M031,M31,ECL09512,5,5
M032,M32,ECL09480,4,20
M033,M33,ECL09475,4,15
M034,M34,ECL09430,3,4
M035,M35,ECL09519,5,12
M036,M36,ECL09560,6,1
M037,M37,ECL09443,3,17
M038,M38,ECL09508,5,1
M039,M39,ECL09570,6,11
M040,M40,ECL09479,4,19
M041,M41,ECL09516,5,9
M042,M42,ECL09449-2,3,23
M043,M43,ECL09533,5,26
M044,M44,ECL09478,4,18
M045,M45,ECL09432,3,6
M046,M46,ECL09437,3,11
M047,M47,ECL09522,5,15
M048,M48,ECL09520,5,13
M049,M49,ECL09524,5,17
M050,M50,ECL09514,5,7
M051,M51,ECL09530,5,23
M052,M52,ECL09464,4,4
M053,M53,ECL09440,3,14
M054,M54,ECL09532,5,25
M055,M55,ECL09568,6,9
M056,M56,ECL09446,3,20
M057,M57,ECL09574,6,15
M058,M58,ECL09448-2,3,22
M059,M59,ECL09486,4,26
M060,M60,ECL09526,5,19
M071,M71,ECL09515,5,8
M072,M72,ECL09485,4,25
M073,M73,ECL09534,5,27
M074,M74,ECL09531,5,24
M075,M75,ECL09484,4,24
M076,M76,ECL09586,6,27
M077,M77,ECL09567,6,8
M078,M78,ECL09468,4,8
M079,M79,ECL09581,6,22
M080,M80,ECL09579,6,20
M081,M81,ECL09529,5,22
M082,M82,ECL09525,5,18
M083,M83,ECL09473,4,13
M084,M84,ECL09583,6,24
M085,M85,ECL09517,5,10
M086,M86,ECL09521,5,14
M087,M87,ECL09572,6,13
M088,M88,ECL09513,5,6
M089,M89,ECL09528,5,21
M090,M90,ECL09511,5,4
M091,M91,ECL09578,6,19
M092,M92,ECL09438,3,12
M093,M93,ECL09477,4,17
M094,M94,ECL09476,4,16
M095,M95,ECL09435,3,9
M096,M96,ECL09582,6,23
M097,M97,ECL09428-2,3,2
M098,M98,ECL09561,6,2
M099,M99,ECL09523,5,16
M100,M100,ECL09431,3,5
M101,M101,ECL09472,4,12
M102,M102,ECL09573,6,14
M103,M103,ECL09442-2,3,16
M104,M104,ECL09575,6,16
M105,M105,ECL09562,6,3
M106,M106,ECL09465,4,5
M107,M107,ECL09429,3,3
M108,M108,ECL09462,4,2
M109,M109,ECL09566,6,7
M110,M110,ECL09563,6,4
