sample_id,date,site
M001,230615,Falalop_Mens_House
M010,230615,Falalop_Mens_House
M100,230625,Sohng
M101,230626,Yealeil_In
M102,230626,Yealeil_In
M103,230626,Yealeil_In
M104,230626,Yealeil_In
M105,230626,Yealeil_In
M106,230626,Yealeil_In
M107,230626,Yealeil_In
M108,230626,Yealeil_In
M109,230626,Yealeil_In
M011,230616,Asor_Landing
M110,230626,Yealeil_In
M012,230616,Asor_Landing
M013,230616,Asor_Landing
M014,230616,Asor_Landing
M015,230616,Asor_Landing
M016,230616,Asor_Landing
M017,230616,Asor_Landing
M018,230616,Asor_Landing
M019,230616,Asor_Landing
M002,230615,Falalop_Mens_House
M020,230616,Asor_Landing
M021,230617,MogMog_Landing
M022,230617,MogMog_Landing
M023,230617,MogMog_Landing
M024,230617,MogMog_Landing
M025,230617,MogMog_Landing
M026,230617,MogMog_Landing
M027,230617,MogMog_Landing
M028,230617,MogMog_Landing
M029,230617,MogMog_Landing
M003,230615,Falalop_Mens_House
M030,230617,MogMog_Landing
M031,230621,Soghloi
M032,230621,Soghloi
M033,230621,Soghloi
M034,230621,Soghloi
M035,230621,Soghloi
M036,230621,Soghloi
M037,230621,Soghloi
M038,230621,Soghloi
M039,230621,Soghloi
M004,230615,Falalop_Mens_House
M040,230621,Soghloi
M041,230622,Federai_Landing
M042,230622,Federai_Landing
M043,230622,Federai_Landing
M044,230622,Federai_Landing
M045,230622,Federai_Landing
M046,230622,Federai_Landing
M047,230622,Federai_Landing
M048,230622,Federai_Landing
M049,230622,Federai_Landing
M005,230615,Falalop_Mens_House
M050,230622,Federai_Landing
M051,230623,Fetabul
M052,230623,Fetabul
M053,230623,Fetabul
M054,230623,Fetabul
M055,230623,Fetabul
M056,230623,Fetabul
M057,230623,Fetabul
M058,230623,Fetabul
M059,230623,Fetabul
M006,230615,Falalop_Mens_House
M060,230623,Fetabul
M007,230615,Falalop_Mens_House
M071,230624,Pigleilei_In
M072,230624,Pigleilei_In
M073,230624,Pigleilei_In
M074,230624,Pigleilei_In
M075,230624,Pigleilei_In
M076,230624,Pigleilei_In
M077,230624,Pigleilei_In
M078,230624,Pigleilei_In
M079,230624,Pigleilei_In
M008,230615,Falalop_Mens_House
M080,230624,Pigleilei_In
M081,230624,Laam
M082,230624,Laam
M083,230624,Laam
M084,230624,Laam
M085,230624,Laam
M086,230624,Laam
M087,230624,Laam
M088,230624,Laam
M089,230624,Laam
M009,230615,Falalop_Mens_House
M090,230624,Laam
M091,230625,Sohng
M092,230625,Sohng
M093,230625,Sohng
M094,230625,Sohng
M095,230625,Sohng
M096,230625,Sohng
M097,230625,Sohng
M098,230625,Sohng
M099,230625,Sohng
