sample_id,run,batch,order
A21,ECL09326-2,1,1
A24,ECL09327-2,1,2
A28,ECL09328-2,1,3
A22,ECL09329-2,1,4
A26,ECL09330-2,1,5
A340,ECL09331-2,1,6
A29,ECL09332-2,1,7
A315,ECL09333-2,1,8
A27,ECL09334-2,1,9
A30,ECL09335-2,1,10
M62,ECL09336-2,1,11
M63,ECL09337-2,1,12
A323,ECL09338-2,1,13
A325,ECL09339-2,1,14
A23,ECL09340-2,1,15
A25,ECL09341-2,1,16
M64,ECL09342-2,1,17
A339,ECL09343-2,1,18
M65,ECL09344-2,1,19
A326,ECL09345-2,1,20
A338,ECL09346-2,1,21
A328,ECL09347-2,1,22
M61,ECL09348-2,1,23
A309,ECL09349-2,1,24
A331,ECL09350-2,1,25
