sample_id,date,site
A21,230615,Falalop_Mens_House
A22,230615,Falalop_Mens_House
A23,230615,Falalop_Mens_House
A24,230615,Falalop_Mens_House
A25,230615,Falalop_Mens_House
A26,230615,Falalop_Mens_House
A27,230615,Falalop_Mens_House
A28,230615,Falalop_Mens_House
A29,230615,Falalop_Mens_House
A30,230615,Falalop_Mens_House
A338,230617,MogMog_Landing
A306,230617,MogMog_Landing
A309,230617,MogMog_Landing
A315,230617,MogMog_Landing
A323,230617,MogMog_Landing
A325,230617,MogMog_Landing
A326,230617,MogMog_Landing
A328,230617,MogMog_Landing
A331,230617,MogMog_Landing
A339,230617,MogMog_Landing
A340,230617,MogMog_Landing
M61,230618,BulBul_Outside
M62,230618,BulBul_Outside
M63,230618,BulBul_Outside
M64,230618,BulBul_Outside
M65,230618,BulBul_Outside
