sample_id,run,batch,order
P18,ECL09388-2,2,1
P206,ECL09389-2,2,2
P205,ECL09390,2,3
P210,ECL09391,2,4
P11,ECL09392,2,5
P207,ECL09393,2,6
P202,ECL09394,2,7
P12,ECL09395,2,8
P13,ECL09396,2,9
P204,ECL09397,2,10
M69,ECL09398,2,11
M66,ECL09399,2,12
P201,ECL09400,2,13
P209,ECL09401,2,14
M68,ECL09402,2,15
P17,ECL09403,2,16
P16,ECL09404,2,17
M70,ECL09405,2,18
P20,ECL09406,2,19
P208,ECL09407,2,20
P15,ECL09408,2,21
M67,ECL09409,2,22
P203,ECL09410,2,23
P19,ECL09411,2,24
P14,ECL09412,2,25
