sample_id,date,site
P11,230615,Falalop_Mens_House
P12,230615,Falalop_Mens_House
P13,230615,Falalop_Mens_House
P14,230616,Falalop_Mens_House
P15,230616,Falalop_Mens_House
P16,230616,Falalop_Mens_House
P17,230616,Falalop_Mens_House
P18,230616,Falalop_Mens_House
P19,230616,Falalop_Mens_House
P20,230616,Falalop_Mens_House
P201,230617,MogMog_Landing
P202,230617,MogMog_Landing
P203,230617,MogMog_Landing
P204,230617,MogMog_Landing
P205,230617,MogMog_Landing
P206,230617,MogMog_Landing
P207,230617,MogMog_Landing
P208,230617,MogMog_Landing
P209,230617,MogMog_Landing
P210,230617,MogMog_Landing
M66,230618,BulBul_Outside
M67,230618,BulBul_Outside
M68,230618,BulBul_Outside
M69,230618,BulBul_Outside
M70,230618,BulBul_Outside
