variable_id,mz,rt,isotope.dist,M91,M92,M94,M95,M96,M97,M93,M99,M100,M98,M85,M86,M90,M82,M83,M84,M88,M81,M87,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M72,M74,M76,M71,M75,M77,M78,M79,M73,M80,M51,M55,M56,M52,M54,M57,M58,M59,M60,M53,M45,M46,M48,M41,M43,M47,M49,M50,M42,M44,M32,M33,M34,M36,M40,M31,M35,M39,M29,M22,M23,M26,M27,M28,M24,M30,M25,M21,M12,M13,M17,M14,M16,M18,M19,M20,M11,M15,M107,M101,M102,M104,M105,M110,M103,M106,M108,M109
5.78_245.2732m/z,245.2731513,5.782316667,100 - 45.6 - 3.82,43452.50792,39293.11452,0,34015.79765,0,0,18812.14015,15164.63696,16602.64212,25741.23716,63165.99177,41332.15311,67865.36783,16140.20999,11277.69433,19443.46613,18038.21355,15383.46441,13192.62966,48849.9998,35222.20456,43334.93312,61814.77884,12304.47167,0,56634.98975,33859.50051,0,0,33943.20843,44143.52949,43189.54985,6622.426767,15483.71635,14322.2874,14997.70386,14801.91723,10147.19759,4694.832096,43558.18119,57925.9062,49156.59144,17454.52174,18984.9001,12082.86085,6694.490501,7122.961603,19461.53683,5851.713916,20573.61045,13120.67564,6867.901586,13094.39331,15453.80209,5148.252922,7997.455854,5983.479353,4637.053421,3647.31923,4429.513133,9301.951621,8180.919747,7756.699685,7021.997546,6797.922218,5825.49946,14403.65904,23933.57301,0,0,0,0,32851.38705,11132.82637,5997.040414,8174.487753,4507.223419,29296.33518,23403.3231,0,23644.55748,8137.64199,7503.09778,17648.11082,10698.44735,5204.829783,8755.471741,55849.53156,16944.18587,10652.79675,16316.3023,15939.77163,13471.30214,29217.89053,8221.990322,23240.35365,13360.2718
3.12_627.3635m/z,627.3635425,3.1222,100 - 39.5 - 9.45 - 2.44 - 0.405,2012.883594,1917.396271,52219.37026,807.7917145,62332.96068,74953.6143,550.20936,766.9827569,282.3597828,135.0266778,1533.523046,1483.700865,1187.613701,287.5911124,102.2592835,469.1579946,75.95586833,119.0029965,178.6248686,4754.291907,12252.02166,7759.907857,5174.845239,2199.480473,115528.793,4847.503405,4365.631084,145223.2659,104714.4429,1498.276485,1162.270968,331.0759345,207.4752067,135.7716725,249.9635429,102.895186,189.2192824,379.5361684,782.3505049,213.0309065,1704.321295,387.6598223,89.39815526,66.15108946,555.8375102,242.4430375,639.0569713,431.5331188,553.0178594,235.2711541,596.7709163,611.5670426,549.1249697,819.0824375,654.8919191,549.3073835,520.9749451,763.8778247,649.9019372,2014.178026,252.4207377,399.9676481,949.2074084,599.0127878,210.7122055,585.4924945,834.4951392,953.4207195,22056.66417,30131.47399,19894.5762,35993.96319,1455.280765,442.6057697,499.2616191,572.172649,1385.776522,8527.316888,4633.41119,74420.19959,2350.961754,1261.410136,1049.213192,519.3585969,559.3634659,246.6072628,1486.166969,1862.570876,314.1481122,316.415607,898.7335255,491.666788,983.9377264,361.6675512,637.4476739,1199.813356,1317.266255
3.78_996.1757m/z,996.1757204,3.7764,97.3 - 100 - 56.7 - 22.5 - 4.46 - 0.17,16223.54819,16458.69221,0.874412256,10641.06472,0,0,9427.220392,7922.444033,5391.754817,7673.035214,13756.0475,11265.41987,12772.63002,9259.895278,4738.354198,7082.233688,3961.021551,6087.570316,5700.961732,22217.39009,30137.41569,33513.28077,25607.84132,4851.039694,0,24898.05531,13873.40388,0,0,16962.77151,12027.80626,6611.900306,5528.481265,7719.223906,6907.050779,4838.85602,4873.683235,3720.519248,7411.954909,11092.7177,21204.12062,6876.191147,6949.638058,6543.177084,8380.891158,7758.105158,7704.835443,8337.765135,3548.426984,8791.740723,8223.569497,6860.561827,6807.914205,7811.305735,7724.912699,9545.978453,8994.217162,8235.226897,5390.311991,12006.07873,9768.748543,9899.200268,10254.50275,8781.431736,7689.528589,7539.664469,13905.2566,8933.523561,0,0,0,0,16236.00537,9157.551568,6461.857715,6231.018979,6220.462788,17706.77352,15323.90011,0,14891.49691,8022.459615,9236.061603,10943.53542,10179.26233,9199.580625,9171.219128,14256.39629,6119.01715,7374.095071,4700.842955,6024.500022,5046.140773,12159.98439,7498.110677,8843.885419,6173.104285
5.78_245.3412m/z,245.3411544,5.782316667,100 - 29.2,24314.25463,22065.96983,0,18951.20334,0,0,10133.78838,7969.852444,8805.131185,14293.27282,35489.15544,23238.78101,37984.89465,8522.297756,5812.205615,10489.17589,9692.426328,8182.470952,6908.731778,27246.66886,19409.92634,23985.91242,34550.5009,6186.068384,0,31694.81339,18530.34289,0,0,18921.47151,24775.4498,24352.07076,3209.462169,8114.167383,7541.898438,7872.108512,7688.833505,5115.20157,2312.327122,24455.88238,32594.15395,27632.78155,9409.963456,10265.86083,6150.717074,3261.710063,3474.880564,10487.06312,2834.658431,11170.55986,6690.345162,3390.753308,6787.626881,8080.391717,2520.089385,3895.704129,2915.955745,2270.374478,1799.844043,2154.494177,4652.315326,3992.105992,3770.948164,3444.938728,3317.780053,2801.334225,7528.345923,12970.10363,0,0,0,0,18277.24288,5668.805268,2893.429711,4013.526633,2201.977962,16056.27814,12536.35419,0,12785.46202,4000.86641,3676.48131,9419.353276,5392.738995,2514.359146,4344.392497,31567.66267,9029.927936,5344.744714,8712.671432,8507.375143,7000.867071,16424.61057,4057.558501,12829.85254,6853.148924
3.78_117.2729n,118.2802015,3.78355,100,19799.74333,21277.1356,0,13385.43209,0,0,6884.081575,5732.829716,2225.485011,4618.425659,21079.21219,18221.83361,20398.74447,9314.030912,2631.062729,7060.232094,2122.84794,3256.845803,2816.850623,29609.65502,37048.17025,36895.77913,30846.60983,5496.145516,0,30252.40797,19640.07116,0,0,22814.02727,15979.08489,9305.325663,3349.555722,6686.939357,5002.574435,2512.327082,3568.272774,406.0455147,3435.891353,15335.26839,26545.93589,10966.52355,6090.31055,6503.722728,8566.733809,4785.132083,5224.487622,6933.192239,269.5329036,6552.752254,6777.745672,4432.419595,4765.231877,7396.409978,6585.816846,6882.969979,6025.24294,5777.062003,1213.549655,11157.5232,7097.030568,7922.052033,8206.240368,6119.376343,4308.287244,5093.885819,10798.51542,11738.80859,0,0,0,0,21132.51808,9144.440153,4303.029167,4313.855746,695.1981605,21461.83992,19451.69955,0,15154.21814,5638.583048,6895.547781,7276.208009,7481.199277,616.5310974,1738.955525,19185.52775,2769.970272,4454.349957,2178.534569,1963.235811,1166.302124,8962.265301,4540.075992,6543.965372,3346.090772
5.78_245.3927m/z,245.3926885,5.782316667,100 - 0.798,14514.08738,12940.2352,0,10835.8421,0,0,5536.698767,4263.83414,4772.101891,8035.924685,22281.76121,13800.53895,24155.47668,4576.373413,2960.866264,5768.629727,5291.206862,4400.059273,3610.073702,16622.51122,11482.977,14486.32217,21678.01613,3174.821475,0,19546.05533,10956.57781,0,0,10984.04269,14685.30791,14309.9712,1252.111506,4410.456468,4023.335584,4202.465984,4194.667414,2495.018176,697.8744452,14555.47831,20081.81584,16572.83097,5084.747807,5638.450329,3248.851388,1272.738722,1512.839523,5765.195826,1050.849709,6107.688301,3560.622252,1276.420454,3611.865457,4383.272406,828.1281157,1725.961655,998.1241599,708.1162309,419.6082768,631.0021691,2187.935628,1935.661436,1738.350182,1383.086163,1472.440167,1073.003357,3994.235908,7240.024967,0,0,0,0,10466.57311,2825.388094,1089.465824,1852.298479,650.6675245,9135.447458,6984.721868,0,7098.298995,1776.828696,1557.2084,5074.818767,2631.331538,884.3064562,1999.66863,19236.18079,4905.474431,2737.050417,4667.103556,4526.834331,3685.290338,9252.38682,1838.169981,7101.873657,3635.098117
1.74_559.8537m/z,559.8536851,1.7417,100 - 50.2,1282.745629,298.4977121,873.6806898,256.927789,33757.98239,4053.392789,213.6259236,1040.420939,581.6080563,186.1546455,555.8538537,3889.318271,75.93002222,1531.134391,169.3209054,1475.935528,164.8478029,430.4277464,391.4685362,10878.55969,22.06505645,35794.24211,334.2386141,33.69082784,105034.0313,315.9198133,204.7043138,41967.47084,11182.09095,1594.808449,141.7369827,169.5864775,150.1157384,1996.993352,2348.660891,93.59597282,795.6468886,909.978639,198.4268633,275.8976412,2376.146041,257.9324604,1238.036494,688.2176939,442.7614035,250.7433545,190.7553249,23121.86443,620.9258025,265.0101694,4996.594159,3241.750571,2449.051989,6372.427364,262.8217484,4554.388238,368.1565952,142.6489854,62.68387902,34112.48841,636.0980265,1600.458299,382.5323676,7458.619561,1754.1136,1149.666411,281.9683915,327.8275253,2087.375063,17999.70831,12936.20538,2237.353299,0,3367.99286,5508.213682,1631.979568,29.81990028,281.2594387,794.1487346,7807.751573,184.0963631,1722.265997,779.6319881,4664.103855,6764.461424,75.15775204,86.49136071,142.149435,74.45412716,112.3034579,1353.930152,4.668505634,535.6948609,1206.956361,1186.43146,524.335122,798.9301199
5.58_135.3374m/z,135.3373802,5.575733333,100 - 89.7,0,232.2705223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.9927338,709.2027021,604.8041229,192.6224983,0,0,74.74868627,179.8733393,0,0,57.28691122,0,0,0,0,0,0,0,0,0,12.15046841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.801670186,0,0,0,13.16690838,0.002507303,0,0,0,0,0,21.66858661,0,0,0,0,0,252.2494597,0,0,0,0,387.4320879,452.9835511,0,4.679718073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.13_146.1817m/z,146.181656,6.131133333,100,0,0,541.5072158,0,591.9708811,30.77293965,0,0,0,0,1.629832431,155.492841,845.6435876,60.43783499,5.058441505,0,49.55640584,0,4.808949766,0,0,0,0,0,210.2571426,0,190.6814465,10.19158766,66.13774663,0,0,0,0,0,0,0,0,0,0,0,1201.146354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.8877001,154.1312273,228.0387218,509.3151772,0,0,0,0,0,0,0,14.89009471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01_265.4166m/z,265.4165855,1.0094,100 - 44.3 - 5.22,9205.445737,2136.504165,7793.36077,12108.26514,3003.25391,533.3693759,1101.472786,3567.661782,4800.220264,396.9107461,18704.98117,25832.61001,31.70970058,13717.0681,12121.43155,12341.82195,431.0680436,7390.105547,17830.58175,7838.732948,1552.626483,1273.09231,16368.15657,0,2081.289851,0,79.48223877,186.7102294,2092.426859,8767.463048,356.6105938,735.2965892,246.4745789,2553.497014,4293.038634,542.6283485,5467.551066,3784.709907,939.7817915,8805.535056,522.2866394,4933.974846,3959.523494,152.7176845,127.9127403,99.32435417,0,7949.290271,2256.48968,749.872983,9515.5815,7952.42878,10165.05086,20631.26559,885.5061138,7274.759577,238.0100709,202.4528809,0,3236.891553,1084.123176,7430.546224,20.22010006,4333.524851,11816.03183,12740.99075,0,2795.631571,16525.83799,3339.36292,1176.002267,9984.652803,0,7479.66765,26.51185608,5578.680343,0,0,8925.283739,1256.236874,64.23738209,2012.92059,0,1435.324482,0,0,0,11559.18413,0,7588.751599,11776.90769,0,13508.2134,583.606459,4922.126361,5504.305923,14152.07345
