variable_id,mz,rt,isotope.dist,M91,M92,M94,M95,M96,M97,M93,M99,M100,M98,M85,M86,M90,M82,M83,M84,M88,M81,M87,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M72,M74,M76,M71,M75,M77,M78,M79,M73,M80,M51,M55,M56,M52,M54,M57,M58,M59,M60,M53,M45,M46,M48,M41,M43,M47,M49,M50,M42,M44,M32,M33,M34,M36,M40,M31,M35,M39,M29,M22,M23,M26,M27,M28,M24,M30,M25,M21,M12,M13,M17,M14,M16,M18,M19,M20,M11,M15,M107,M101,M102,M104,M105,M110,M103,M106,M108,M109
5.78_245.2732m/z,245.2731513,5.782316667,100 - 45.6 - 3.82,37734.25458,30589.74505,0,37257.36331,0,0,22990.748,18210.05963,22651.77492,32378.82521,42402.48564,31473.84674,49496.49384,17036.05615,15604.42519,19934.73097,24717.89337,18654.91726,17840.06852,30538.67773,21069.62143,25748.8955,43602.31334,15544.58966,0,41812.53279,26619.38318,0,0,22860.16356,37516.36289,39874.37607,8690.842181,16675.27326,17229.85722,20884.35623,18208.99716,15118.37163,6906.785171,38076.56345,40086.04904,45486.79201,19040.70822,20691.07589,12219.22916,8113.722348,9164.483368,20615.47508,8644.383568,24326.89261,15270.50375,8488.877655,15639.30403,16753.91486,6536.008448,9139.524114,7481.618014,5640.03861,6247.75768,4658.78673,10918.45363,9667.969888,8807.09415,8809.149165,9094.097416,7253.786968,15291.77733,23933.57301,0,0,0,0,33405.40271,11401.56295,7484.873374,9757.429464,7717.176028,27129.6963,21942.28436,0,23690.58181,9273.955514,8208.830855,19018.60031,12251.68988,9854.260928,13061.04888,47454.07196,22864.27472,13404.93417,22445.99805,24968.50581,20383.89466,29697.08644,9628.366037,25649.01628,17400.35534
3.12_627.3635m/z,627.3635425,3.1222,100 - 39.5 - 9.45 - 2.44 - 0.405,1747.992592,1492.6957,45382.11472,884.7709437,53958.17527,69640.73856,672.4234799,921.0112829,385.2368919,169.8444085,1029.433515,1129.817107,866.1665897,303.5535684,141.4914514,481.0118908,104.082871,144.3102148,241.5500152,2972.155353,7329.054536,4610.808005,3650.182494,2778.666354,87950.80218,3578.819312,3432.135881,111052.4772,76089.73376,1009.063288,987.7818997,305.6629755,272.2769675,146.2200475,300.7086811,143.2819143,232.7734524,565.4732543,1150.952101,186.2218441,1179.429231,358.7189671,97.52224749,72.09609768,562.1107453,293.8409565,822.2179637,457.1201305,816.9398855,278.1921099,694.5520769,755.910337,655.8480524,887.9910165,831.4236268,627.7506458,651.4162253,929.1030388,1113.264171,2118.432789,296.2866539,472.6699806,1077.746897,751.4660844,281.8857384,729.0426951,885.9494533,953.4207195,18550.40215,27282.953,17934.28498,32792.10583,1479.823057,453.2898813,623.1256989,682.9705337,2372.698303,7896.670899,4344.153411,76648.2681,2355.537922,1437.549293,1147.901024,559.6901373,640.5740466,466.899479,2217.002122,1582.583952,423.9075748,398.1612042,1236.369037,770.1606608,1488.830312,367.5991776,746.4834295,1324.163684,1715.601393
3.78_996.1757m/z,996.1757204,3.7764,97.3 - 100 - 56.7 - 22.5 - 4.46 - 0.17,14088.56535,12813.11509,0.759922556,11655.11444,0,0,11521.22229,9513.460736,7356.227741,9651.589957,9234.250744,8578.457007,9315.508383,9773.856472,6556.24203,7261.175674,5427.816233,7382.155123,7709.270291,13889.24706,18027.94423,19913.03326,18063.01247,6128.456671,0,18381.75938,10906.87837,0,0,11424.13311,10222.09935,6104.379421,7255.219253,8313.260531,8309.252246,6738.124304,5995.499287,5543.22434,10904.07052,9696.744857,14673.73538,6362.847126,7581.189127,7131.213378,8475.478695,9402.823291,9913.128865,8832.138532,5241.876886,10395.63439,9571.004747,8479.805551,8131.040327,8468.463005,9807.228865,10909.18185,11246.18189,10016.48966,9233.456415,12627.51878,11466.37097,11698.58317,11643.14397,11016.3727,10286.86705,9388.228467,14762.64379,8933.523561,0,0,0,0,16509.81424,9378.606759,8065.009308,7437.619336,10650.54954,16397.25191,14367.24914,0,14920.48334,9142.689451,10104.79534,11793.37144,11657.12754,17417.48946,13681.24355,12113.33447,8256.926015,9279.183797,6466.85198,9436.945979,7635.49068,12359.4175,8780.666401,9760.478028,8039.822071
5.78_245.3412m/z,245.3411544,5.782316667,100 - 29.2,21114.55283,17178.38862,0,20757.1751,0,0,12384.73523,9570.389892,12013.25959,17978.90985,23823.3955,17696.00122,27703.66041,8995.31934,8042.080678,10754.19877,13281.60129,9922.558052,9342.50801,17033.31101,11610.85188,14252.02967,24370.89956,7815.036456,0,23399.67624,14568.03232,0,0,12743.28366,21055.96848,22482.83742,4211.889415,8738.597075,9072.980428,10961.93924,9458.636019,7621.170045,3401.771639,21378.21029,22555.89838,25569.84832,10265.09755,11188.45526,6220.134653,3953.192529,4470.820834,11108.87543,4187.469707,13208.42594,7786.560973,4191.045785,8106.810137,8760.186919,3199.400993,4452.026054,3646.050357,2761.451843,3083.083419,2266.011767,5460.799115,4717.753225,4281.601308,4321.701756,4438.446637,3488.161287,7992.537813,12970.10363,0,0,0,0,18585.4758,5805.64521,3611.273813,4790.722576,3770.181765,14868.82052,11753.72606,0,12810.34903,4559.534218,4022.287074,10150.82673,6175.677983,4760.415254,6480.784181,26822.3223,12184.87301,6725.553179,11985.84106,13326.19128,10593.25486,16693.98684,4751.605989,14159.55634,8925.509021
3.78_117.2729n,118.2802015,3.78355,100,17194.14116,16564.28007,0,14661.00873,0,0,8413.194005,6884.119368,3036.335133,5809.324402,14150.19328,13875.66713,14877.48998,9830.996849,3640.480076,7238.618181,2908.953753,3949.447757,3809.157795,18510.53667,22161.89849,21922.85745,21758.28455,6943.437238,0,22334.77583,15440.46935,0,0,15364.85261,13580.18161,8591.060943,4395.739083,7201.536023,6018.147859,3498.424441,4389.611684,604.969691,5054.699073,13405.38801,18370.39345,10147.81459,6643.769897,7088.213254,8663.418784,5799.579985,6721.885163,7344.28391,398.1646807,7748.183077,7888.282093,5478.568262,5691.360289,8018.662486,8361.080001,7865.885258,7533.838334,7026.628721,2078.777232,11735.04163,8330.359301,9362.047651,9317.510601,7676.804022,5763.523417,6342.797356,11464.34339,11738.80859,0,0,0,0,21488.90321,9365.178845,5370.587192,5149.208664,1190.304114,19874.60874,18237.35548,0,15183.71596,6425.936212,7544.135376,7841.252429,8567.349115,1167.273198,2594.101584,16301.50494,3737.763605,5605.125991,2996.964741,3075.267694,1764.77221,9109.253354,5316.658348,7222.191062,4357.93293
5.78_245.3927m/z,245.3926885,5.782316667,100 - 0.798,12604.06578,10073.99135,0,11868.4533,0,0,6766.526568,5120.11426,6510.805759,10108.05344,14957.44836,10508.91413,17617.40105,4830.380426,4096.814007,5914.381775,7250.578703,5335.777399,4881.813849,10391.59704,6869.0186,8607.531358,15291.03023,4010.842434,0,14430.47987,8613.752082,0,0,7397.562697,12480.63639,13211.55638,1643.189707,4749.865287,4840.113574,5851.948904,5160.188768,3717.342811,1026.675453,12723.7313,13897.07486,15335.58152,5546.826248,6145.178696,3285.518235,1542.559305,1946.436527,6107.033165,1552.356812,7221.925277,4144.031675,1577.6838,4313.835751,4752.032691,1051.357119,1972.435791,1248.03367,861.280326,718.7774551,663.6631259,2568.157166,2287.507647,1973.753573,1735.092079,1969.795165,1336.080764,4240.517353,7240.024967,0,0,0,0,10643.08455,2893.590462,1359.756342,2210.985239,1114.059667,8459.826583,6548.67485,0,7112.115896,2024.939202,1703.677699,5468.911132,3013.358566,1674.250057,2983.022559,16344.54367,6619.386489,3444.16415,6420.43739,7090.960392,5576.340672,9404.13309,2152.589911,7837.921739,4734.33474
1.74_559.8537m/z,559.8536851,1.7417,100 - 50.2,1113.939159,232.3808898,759.2867761,281.4119509,29222.40675,3766.079463,261.0771416,1249.362407,793.5155554,234.1561398,373.1372594,2961.660547,55.37831736,1616.118468,234.2815227,1513.226988,225.8921262,521.9626596,529.3732703,6800.753938,13.199128,21268.3425,235.7620144,42.56258281,79961.25528,233.2375729,160.9327511,32092.59599,8125.357875,1074.075896,120.4583353,156.5692396,197.0021319,2150.672945,2825.462908,130.3327267,978.7875254,1355.782729,291.9149586,241.1770591,1644.347288,238.6764386,1350.543544,750.0679201,447.7584509,303.9009405,245.4279694,24492.83549,917.2561888,313.3564692,5815.288171,4006.875119,2925.028119,6908.533249,333.6675944,5204.772853,460.335342,173.5036698,107.3757634,35878.16619,746.6397475,1891.374457,434.3340227,9356.894794,2346.611132,1431.539954,299.3543408,327.8275253,1755.553177,16298.08073,11661.54994,2038.328643,0,3449.293227,6874.771401,1948.00286,51.05702519,260.4586242,744.5710715,8041.508073,184.4547083,1962.757548,852.9633103,5026.301562,7746.552451,142.2955467,129.0242175,120.7811298,100.4674778,141.3169232,1862.573578,7.312878298,810.5784801,1226.751374,1389.371177,578.6779447,1040.522841
5.58_135.3374m/z,135.3373802,5.575733333,100 - 89.7,0,180.8229291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.4542395,424.238989,359.3645366,135.8702026,0,0,55.18552947,141.4113401,0,0,38.58174347,0,0,0,0,0,0,0,0,0,10.62138199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.058955799,0,0,0,13.8484335,0.002943024,0,0,0,0,0,23.00465462,0,0,0,0,0,256.5034704,0,0,0,0,358.7791722,424.7043827,0,4.688827185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.13_146.1817m/z,146.181656,6.131133333,100,0,0,470.605878,0,512.436249,28.59168654,0,0,0,0,1.094084717,118.4055869,616.7562921,63.79237636,6.999132066,0,67.90749825,0,6.503024455,0,0,0,0,0,160.0664551,0,149.9083688,7.793524336,48.05835177,0,0,0,0,0,0,0,0,0,0,0,831.2206887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.4819576,139.5602164,205.5691653,464.0088422,0,0,0,0,0,0,0,15.33588969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01_265.4166m/z,265.4165855,1.0094,100 - 44.3 - 5.22,7994.029563,1663.271505,6772.950167,13262.13303,2599.749781,495.5629907,1346.135159,4284.133802,6549.168993,499.2574209,12556.40375,19671.16512,23.12695046,14478.4202,16771.86543,12653.65438,590.695631,8961.687946,24111.85703,4900.400006,928.7678792,756.4502466,11545.61264,0,1584.463122,0,62.4866917,142.7776285,1520.441672,5904.73466,303.0734651,678.8561774,323.4572072,2750.002617,5164.569084,755.6119148,6726.062597,5638.862395,1382.556566,7697.394729,361.4342738,4565.627539,4319.346735,166.4424454,129.3563757,120.3811152,0,8420.629721,3333.37593,886.6737109,11074.71345,9829.377158,12140.64044,22366.95315,1124.201846,8313.623957,297.6028376,246.2430257,0,3404.434519,1272.523135,8781.200569,22.95825959,5436.439784,15807.20419,15864.80838,0,2795.631571,13898.78987,3023.671581,1060.126115,9096.464026,0,7660.220207,33.08930272,6658.959141,0,0,8368.089991,1293.847386,64.36242071,2293.998191,0,1546.786673,0,0,0,9821.574868,0,9549.296584,16201.24721,0,20439.74636,593.1780544,5764.058631,6074.779859,18431.5941
