sample_id,injection.order,class,batch
M1,6,Sample,3
M10,8,Sample,3
M100,143,Sample,3
M101,140,Sample,3
M102,125,Sample,3
M103,133,Sample,3
M104,126,Sample,3
M105,147,Sample,3
M106,128,Sample,3
M107,24,Sample,3
M108,130,Sample,3
M109,134,Sample,3
M11,160,Sample,3
M110,148,Sample,3
M12,34,Sample,3
M13,38,Sample,3
M14,70,Sample,3
M15,159,Sample,3
M16,105,Sample,3
M17,43,Sample,3
M18,104,Sample,3
M19,94,Sample,3
M2,4,Sample,3
M20,103,Sample,3
M21,156,Sample,3
M22,32,Sample,3
M23,29,Sample,3
M24,79,Sample,3
M25,121,Sample,3
M26,45,Sample,3
M27,44,Sample,3
M28,27,Sample,3
M29,53,Sample,3
M3,9,Sample,3
M30,111,Sample,3
M31,137,Sample,3
M32,75,Sample,3
M33,96,Sample,3
M34,119,Sample,3
M35,131,Sample,3
M36,117,Sample,3
M39,129,Sample,3
M4,10,Sample,3
M40,99,Sample,3
M41,118,Sample,3
M42,127,Sample,3
M43,74,Sample,3
M44,152,Sample,3
M45,110,Sample,3
M46,82,Sample,3
M47,76,Sample,3
M48,109,Sample,3
M49,106,Sample,3
M5,56,Sample,3
M50,98,Sample,3
M51,30,Sample,3
M52,116,Sample,3
M53,155,Sample,3
M54,73,Sample,3
M55,39,Sample,3
M56,23,Sample,3
M57,71,Sample,3
M58,95,Sample,3
M59,88,Sample,3
M6,5,Sample,3
M60,83,Sample,3
M7,12,Sample,3
M71,107,Sample,3
M72,20,Sample,3
M73,154,Sample,3
M74,46,Sample,3
M75,85,Sample,3
M76,31,Sample,3
M77,87,Sample,3
M78,93,Sample,3
M79,84,Sample,3
M8,7,Sample,3
M80,142,Sample,3
M81,132,Sample,3
M82,77,Sample,3
M83,92,Sample,3
M84,72,Sample,3
M85,19,Sample,3
M86,18,Sample,3
M87,136,Sample,3
M88,90,Sample,3
M9,11,Sample,3
M90,17,Sample,3
M91,37,Sample,3
M92,26,Sample,3
M93,114,Sample,3
M94,13,Sample,3
M95,57,Sample,3
M96,15,Sample,3
M97,21,Sample,3
M98,138,Sample,3
M99,123,Sample,3
