variable_id,mz,rt,isotope.dist,M91,M92,M94,M95,M96,M97,M93,M99,M100,M98,M85,M86,M90,M82,M83,M84,M88,M81,M87,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M72,M74,M76,M71,M75,M77,M78,M79,M73,M80,M51,M55,M56,M52,M54,M57,M58,M59,M60,M53,M45,M46,M48,M41,M43,M47,M49,M50,M42,M44,M32,M33,M34,M36,M40,M31,M35,M39,M29,M22,M23,M26,M27,M28,M24,M30,M25,M21,M12,M13,M17,M14,M16,M18,M19,M20,M11,M15,M107,M101,M102,M104,M105,M110,M103,M106,M108,M109
1.16_235.2884m/z,235.288416,1.158716667,100 - 47.8,186876.5226,157085.858,139613.1121,280003.4546,131278.6851,98768.74539,208986.9205,176505.7844,262611.0036,98456.18486,171024.7163,179759.5519,25194.63572,238542.9318,330286.9384,271313.897,35219.80327,200510.0604,375976.7291,144951.2438,50165.58402,130319.0205,153300.2927,22930.09715,114649.4519,22974.03392,76410.62364,108071.8623,117352.8982,126547.1355,45057.2452,26412.51765,43187.81214,204856.3996,112409.3156,42451.20674,151622.3606,216351.4962,80084.36582,104480.594,102397.6028,75887.03082,248852.0698,17612.04577,41532.95948,46083.88349,13341.31118,304830.6927,132143.7504,50418.40447,231218.2046,287804.0779,314252.2108,267643.2974,67555.00052,214623.4072,72597.59379,87264.18267,88612.79128,251198.3017,96557.67064,255849.0507,41283.24239,211127.7184,399381.8014,301882.573,45800.94029,279390.3388,223152.6325,186405.108,169166.1198,183280.0624,135062.9137,185661.6892,228682.6973,325246.0644,29086.2608,18914.64171,145343.9319,152067.0325,34170.21648,237889.8701,91089.33481,195922.8678,155824.8763,152507.4875,58134.15413,245921.5885,33708.14659,276216.46,263925.4963,37379.53963,398280.2789,192137.3934,300271.775,241415.5373,285433.8025
1.16_235.3573m/z,235.3572674,1.158716667,100 - 30.8,76488.31813,66056.4819,63103.23284,115102.3533,58705.65306,44710.64877,92704.01823,69369.15185,110514.0994,38283.11639,74792.44838,78305.83236,9080.8235,93454.43964,142226.2191,112942.9542,12102.48975,88601.90599,160680.9883,66326.458,21752.90774,58431.42854,68583.65867,9381.91281,53979.46824,8886.365601,35979.75626,50155.24733,54572.203,55218.62447,16209.69845,8932.723785,16408.82957,90280.57282,48170.85064,14915.47178,61562.19009,93774.83085,30485.22409,44094.2046,40727.78767,32330.54062,104413.6007,2749.25921,14607.4592,18431.22623,2619.056762,133694.8546,53078.19084,19538.10262,92075.86291,123761.029,121102.5355,114355.5079,26548.21091,95388.08214,31497.01904,33991.7359,34047.03431,106972.1616,41524.06103,110788.802,12884.17641,94829.29239,187430.7747,142053.594,17066.6153,114447.7729,89077.17034,76664.74848,71538.89232,76545.81375,56515.90338,78112.62847,104658.8136,140067.6474,9841.046733,7071.591326,59935.05269,64964.15496,11998.79425,102551.867,37458.55496,86585.14863,68704.23845,65842.64036,26675.61531,105632.9902,8802.594185,116392.423,113990.7317,12068.23325,150116.3149,87343.23825,113162.6292,103340.7582,108768.1738
1.16_235.4103m/z,235.4102795,1.158716667,100,68067.11881,55036.06172,50266.59899,104192.1905,47139.94851,34774.95521,73504.57378,59741.47551,90211.0787,26638.09413,61086.99277,64004.87566,3064.796995,82977.89419,123044.1296,97670.89956,3633.483296,61196.1679,136976.0192,52628.21946,13843.34602,46694.41833,54543.14597,3735.117467,41458.86683,3566.632511,27291.96489,38992.18958,43451.10848,43815.49817,7210.02754,2096.117396,6162.242809,69911.56355,34215.08136,4109.140383,45258.63979,65012.40957,19434.21158,31626.85553,30691.45286,21081.7077,86441.86443,0,5571.016493,8046.408837,0,111855.8068,27673.46181,8377.735865,82982.42231,106059.7742,115879.8719,97179.86486,16463.81299,79086.18575,20680.01991,20816.22413,20268.64522,92375.20667,27239.74171,92670.90042,2398.940677,78469.01254,148968.4357,113249.25,6998.028263,104516.8174,81863.6839,67752.54568,61173.30325,65274.29986,47049.23038,63267.59903,81857.68003,122022.5467,1902.916938,2415.992704,52570.27196,55351.94293,3800.561756,87234.92256,24618.50208,70951.75732,55247.91738,48329.01678,16674.62733,90177.29279,980.563264,91537.93067,84769.3133,2164.144376,145987.1373,69000.97838,111709.7351,85069.37584,102200.6755
1.16_233.2722m/z,233.272211,1.158716667,100 - 44.5,0,4718.514912,40.51574335,0,218.0418411,490.3987667,2219.135093,367.7823033,8472.455924,26083.75065,2743.345006,3012.253266,48022.25191,17124.51785,0,4025.644653,53164.1836,65183.71997,4831.446394,2581.553531,27673.43293,3530.337506,2962.687896,19620.59317,406.368493,35152.41852,38.11656012,335.9123486,7.700487083,8980.834339,62704.78324,58851.71674,64114.70455,26032.43493,18006.54236,91085.5307,51531.72661,65088.34834,15597.39033,32900.92579,43218.87514,44024.54668,17705.72634,123240.8349,65543.92919,51082.63285,84773.66175,0,119683.5585,61927.78822,400.8637208,0,594.3721166,2543.756201,36013.99727,0,21461.95627,48689.59907,23972.48152,0,44242.82107,319.1132669,107167.0139,0,0,0,49356.5289,0,0,1329.473933,1501.888314,5299.93372,1192.93626,15868.11066,186.5017962,0,56982.62984,26161.67134,60.63079884,61.7160736,53896.69355,43.70235153,38465.28908,2273.254159,2025.689535,386.9424775,13634.07073,0,129068.0807,22693.76592,58184.52642,58630.43172,0,8283.91078,35.50509838,7223.565101,6027.067526
1.16_235.4975m/z,235.4975079,1.158716667,100,35799.38621,29750.01508,32116.62551,47903.29554,28813.69587,21497.65291,40282.79922,25987.53185,44436.35234,3109.26991,34815.72989,39760.92439,1270.462381,36010.67575,55851.15836,43660.44359,1088.837724,30185.79251,60915.23731,28052.0434,7235.466391,24283.98089,31849.51457,2012.90904,24090.52658,1706.03225,17131.63454,25066.1885,25055.3969,24852.16271,2940.021687,686.9420306,2567.216035,31734.13939,16633.67683,1499.939154,20589.52325,30376.98633,6523.484234,16484.73852,13201.42252,10571.06551,39071.40881,0,2123.967351,1717.742355,7.071340733,51885.37236,12936.79183,3725.921137,40856.00173,58126.63776,19263.49522,47159.63405,7941.263087,47466.58227,11335.34141,3960.101925,6899.086805,45375.26821,9774.808616,52705.44962,769.3984032,49425.72382,73278.97451,61798.37324,1499.92337,47805.3421,39716.65542,30703.55693,31386.94999,32585.72704,25343.04177,33949.35838,50143.89348,61200.41427,859.7847933,1113.5491,26220.88709,30714.46932,1452.796006,47301.54784,12117.77211,35852.74445,32877.51066,29007.24299,3914.771247,44319.58457,236.5648118,38965.3844,40100.83221,754.6305503,22723.39054,32162.07572,17362.60504,43719.04388,11522.77591
1.16_233.3403m/z,233.3402659,1.158716667,100 - 17.3,0,2546.000288,0,0,10.76588505,158.9240991,1008.471309,151.1617104,4504.679883,13177.84713,1431.68634,1605.25299,24190.96966,8643.308929,0,2119.314367,26723.21301,32626.55957,2426.797332,1403.841888,14069.52679,1882.758825,1583.233791,9935.953458,84.06324908,17778.16481,0,95.58145463,0,4553.057828,31466.35652,28955.13343,32089.79234,12963.59591,9256.773893,45605.54427,25715.33876,32597.71776,8181.393997,16422.73477,21681.43383,21944.7552,9042.734627,61352.34442,32870.8116,25528.56216,42451.60631,0,60024.20251,30899.17754,84.23438339,0,115.9601153,1260.783269,17884.56063,0,10707.88813,24237.67846,12704.7045,0,22060.47752,75.82878911,54373.77378,0,0,0,24703.0758,0,0,610.093834,694.448683,2836.944855,569.5793467,7858.769286,48.8613681,0,28719.40683,13052.54503,0,0,27001.80917,9.026028904,19071.89524,1042.502241,942.2379636,153.4563785,6695.655114,0,65000.68842,11498.08406,29144.36648,29455.90432,0,4420.810421,0,3761.526531,3208.345076
1.29_235.5624m/z,235.5623751,1.286566667,100,11545.00233,10857.98882,10991.29698,15224.66043,9785.482726,8652.220328,15554.12512,10967.06591,17015.31787,1946.280798,11234.44241,12144.58403,2174.196324,12986.80103,17557.76901,13870.33864,1620.801959,15852.09672,20725.40321,9590.679388,4836.968426,8741.769353,10303.1072,1556.346124,8466.041737,2325.337152,7566.132221,9205.983239,9067.655113,8941.386014,3611.83142,1452.8614,3149.513972,11922.83122,7430.608883,2217.527585,11561.92327,16046.86369,4402.41958,8241.911609,7230.565637,6971.985714,15986.43181,5.15303078,3528.214629,2150.739963,265.6340485,15013.43395,10391.40988,4123.11309,12769.50169,20155.16575,7171.035996,14918.74311,6321.262548,16545.81012,8311.864319,2631.0157,4817.388797,14197.70336,5543.837936,22799.01842,1508.756161,16233.15324,23769.92723,21445.41927,1714.097386,14498.64653,11974.37052,10074.31067,11077.93048,11500.37768,9887.91942,13154.59934,19462.72104,20477.85801,1219.001613,1106.561966,9587.34071,11042.65906,2439.104883,17399.17893,7077.037215,13951.2558,13888.35911,15823.70849,2686.487194,12892.79945,1204.00757,11506.73751,19842.84469,1546.006616,7787.273653,11524.36116,5724.345296,17240.73551,3922.360895
4.01_868.5084n,903.4988122,4.011283333,89.3 - 100 - 48.6,587.0570619,1100.734594,1859.286152,281.9965138,489.8791572,677.4977087,948.9623708,6653.682684,5849.971002,5212.530121,1148.563926,2989.726936,3317.391666,988.2387281,370.1533591,1478.823758,3236.420772,5389.791195,1107.331573,1589.993375,875.696289,2319.379247,2927.845642,1413.819338,2254.34081,1341.586216,294.3494063,816.4583442,1183.679828,2437.285149,1952.431566,96.23456992,3554.381102,3505.922616,4695.817756,4014.723139,3198.981568,4277.455228,5977.954296,888.6130878,2629.188153,1539.591274,5029.90046,1017.246795,1416.683348,5469.14575,4302.970284,3453.635096,4386.19047,5662.439151,3979.032914,5271.482301,5377.384956,571.3222023,472.4879132,4994.217709,4020.021168,5991.530495,5286.538554,442.8819629,4681.010176,5429.180815,6755.785184,4881.102769,5481.85256,6851.330557,7087.686245,308.7249991,426.5623077,2250.184217,1720.532757,1695.402885,3058.419464,7737.239706,4019.740883,3573.441242,3961.389815,5044.422313,1469.928018,5530.905034,597.3023787,5168.953926,4845.898446,4844.659755,825.6093128,4577.074992,1403.02799,365.5337511,5453.729704,597.9733159,4062.268017,619.9996641,5018.144379,6006.913154,4853.950923,4967.380465,4563.462979
1.16_156.2461n,191.2154764,1.158716667,100 - 9.73,9500.542053,8456.870935,8908.681386,11813.08221,8612.957344,4503.192796,9477.19721,5757.223711,12961.4054,3973.783268,12097.48916,13454.74556,1077.416811,10574.67736,16779.59934,14302.48193,1144.715615,10167.47545,21227.64645,9975.006579,2726.202762,8443.037664,10566.18532,438.8957627,7135.555129,1017.191184,3308.981879,6507.356051,7224.487461,7862.364645,1450.888178,944.3211311,1308.393366,9637.865262,4724.514129,1375.879471,6173.125488,10643.86148,3068.236546,5397.644521,5166.376367,3940.777767,12116.56789,242.2599809,1216.703371,1678.62212,293.8287009,15411.24957,5282.553604,1694.782889,10027.07964,15145.25117,14126.57392,13484.68137,2051.299512,11638.4029,2991.2689,3243.099523,3451.968281,11474.48993,4156.800243,12407.50547,1253.733894,11194.59387,21397.84977,16970.2261,1529.460274,12977.37209,12657.27587,10433.46389,7960.888104,8975.488473,6560.718081,8599.210032,10730.1162,15683.98482,647.0182648,630.5527277,6238.038901,6651.132878,808.7445006,11186.13492,3344.097107,9084.956415,6853.424205,4234.8079,2741.711286,15793.87916,834.867293,13652.50474,13148.18569,1039.551861,19475.65739,11174.7238,14308.46449,12159.61003,14117.97152
1.66_235.5132m/z,235.5132241,1.663666667,100,4330.058701,1741.829795,823.7207717,7679.013101,1092.701609,229.4770762,3274.900944,5437.422768,6431.298255,4101.856311,1962.835105,1360.020668,3.455945642,8840.630742,8678.987036,9017.338261,159.6174762,1356.507834,11736.14243,700.3684657,7.676033731,1110.728567,1559.021444,2.972624827,749.126059,0,10.74965295,395.9762055,75.14445147,1009.550439,151.7997361,10.92880526,0,3032.397248,1456.055055,3.48773013,2446.769544,1622.757944,2071.227812,889.2368203,1558.066937,173.3423404,6893.463555,0,148.6249604,538.7695266,0,10424.16171,232.1839245,3.012506532,7406.164933,3916.367249,19805.79224,4965.196173,609.9645232,2215.441434,131.1293746,2873.625771,2794.304694,9054.233514,1395.244258,5901.401148,46.6068641,2843.325568,11695.77091,4350.552668,304.2855721,8514.560972,6341.588351,4640.771915,3391.355566,3839.003758,1669.514714,3760.406009,1248.323805,9608.385508,0,17.11482983,3205.847733,2818.42047,46.87623946,4922.433613,485.4865869,3490.843221,2441.282885,4227.402796,0,4371.624589,0,6124.070748,3613.221112,35.29329989,25139.43857,1476.295392,29625.33519,3802.987895,16153.89277
