sample_id,group,location
M91,Montipora,Sohng
M92,Montipora,Sohng
M94,Montipora,Sohng
M95,Montipora,Sohng
M96,Montipora,Sohng
M97,Montipora,Sohng
M93,Montipora,Sohng
M99,Montipora,Sohng
M100,Montipora,Sohng
M98,Montipora,Sohng
M85,Montipora,Laam
M86,Montipora,Laam
M90,Montipora,Laam
M82,Montipora,Laam
M83,Montipora,Laam
M84,Montipora,Laam
M88,Montipora,Laam
M81,Montipora,Laam
M87,Montipora,Laam
M1,Montipora,Falalop
M2,Montipora,Falalop
M3,Montipora,Falalop
M4,Montipora,Falalop
M5,Montipora,Falalop
M6,Montipora,Falalop
M7,Montipora,Falalop
M8,Montipora,Falalop
M9,Montipora,Falalop
M10,Montipora,Falalop
M72,Montipora,Pigleilei
M74,Montipora,Pigleilei
M76,Montipora,Pigleilei
M71,Montipora,Pigleilei
M75,Montipora,Pigleilei
M77,Montipora,Pigleilei
M78,Montipora,Pigleilei
M79,Montipora,Pigleilei
M73,Montipora,Pigleilei
M80,Montipora,Pigleilei
M51,Montipora,Fetabul
M55,Montipora,Fetabul
M56,Montipora,Fetabul
M52,Montipora,Fetabul
M54,Montipora,Fetabul
M57,Montipora,Fetabul
M58,Montipora,Fetabul
M59,Montipora,Fetabul
M60,Montipora,Fetabul
M53,Montipora,Fetabul
M45,Montipora,Federai
M46,Montipora,Federai
M48,Montipora,Federai
M41,Montipora,Federai
M43,Montipora,Federai
M47,Montipora,Federai
M49,Montipora,Federai
M50,Montipora,Federai
M42,Montipora,Federai
M44,Montipora,Federai
M32,Montipora,Soghlei
M33,Montipora,Soghlei
M34,Montipora,Soghlei
M36,Montipora,Soghlei
M40,Montipora,Soghlei
M31,Montipora,Soghlei
M35,Montipora,Soghlei
M39,Montipora,Soghlei
M29,Montipora,MogMog
M22,Montipora,MogMog
M23,Montipora,MogMog
M26,Montipora,MogMog
M27,Montipora,MogMog
M28,Montipora,MogMog
M24,Montipora,MogMog
M30,Montipora,MogMog
M25,Montipora,MogMog
M21,Montipora,MogMog
M12,Montipora,Asor
M13,Montipora,Asor
M17,Montipora,Asor
M14,Montipora,Asor
M16,Montipora,Asor
M18,Montipora,Asor
M19,Montipora,Asor
M20,Montipora,Asor
M11,Montipora,Asor
M15,Montipora,Asor
M107,Montipora,Yealeil
M101,Montipora,Yealeil
M102,Montipora,Yealeil
M104,Montipora,Yealeil
M105,Montipora,Yealeil
M110,Montipora,Yealeil
M103,Montipora,Yealeil
M106,Montipora,Yealeil
M108,Montipora,Yealeil
M109,Montipora,Yealeil
