sample_id,injection.order,batch,class
M1,5,4,Sample
M10,7,4,Sample
M100,142,4,Sample
M101,139,4,Sample
M102,124,4,Sample
M103,132,4,Sample
M104,125,4,Sample
M105,146,4,Sample
M106,127,4,Sample
M107,23,4,Sample
M108,129,4,Sample
M109,133,4,Sample
M11,159,4,Sample
M110,147,4,Sample
M12,33,4,Sample
M13,37,4,Sample
M14,69,4,Sample
M15,158,4,Sample
M16,104,4,Sample
M17,42,4,Sample
M18,103,4,Sample
M19,93,4,Sample
M2,3,4,Sample
M20,102,4,Sample
M21,155,4,Sample
M22,31,4,Sample
M23,28,4,Sample
M24,78,4,Sample
M25,120,4,Sample
M26,44,4,Sample
M27,43,4,Sample
M28,26,4,Sample
M29,52,4,Sample
M3,8,4,Sample
M30,110,4,Sample
M31,136,4,Sample
M32,74,4,Sample
M33,95,4,Sample
M34,118,4,Sample
M35,130,4,Sample
M36,116,4,Sample
M39,128,4,Sample
M4,9,4,Sample
M40,98,4,Sample
M41,117,4,Sample
M42,126,4,Sample
M43,73,4,Sample
M44,151,4,Sample
M45,109,4,Sample
M46,81,4,Sample
M47,75,4,Sample
M48,108,4,Sample
M49,105,4,Sample
M5,55,4,Sample
M50,97,4,Sample
M51,29,4,Sample
M52,115,4,Sample
M53,154,4,Sample
M54,72,4,Sample
M55,38,4,Sample
M56,22,4,Sample
M57,70,4,Sample
M58,94,4,Sample
M59,87,4,Sample
M6,4,4,Sample
M60,82,4,Sample
M7,11,4,Sample
M71,106,4,Sample
M72,19,4,Sample
M73,153,4,Sample
M74,45,4,Sample
M75,84,4,Sample
M76,30,4,Sample
M77,86,4,Sample
M78,92,4,Sample
M79,83,4,Sample
M8,6,4,Sample
M80,141,4,Sample
M81,131,4,Sample
M82,76,4,Sample
M83,91,4,Sample
M84,71,4,Sample
M85,18,4,Sample
M86,17,4,Sample
M87,135,4,Sample
M88,89,4,Sample
M9,10,4,Sample
M90,16,4,Sample
M91,36,4,Sample
M92,25,4,Sample
M93,113,4,Sample
M94,12,4,Sample
M95,56,4,Sample
M96,14,4,Sample
M97,20,4,Sample
M98,137,4,Sample
M99,122,4,Sample
