variable_id,mz,rt,isotope.dist,M62,M61,M63,M64,M65,A306,A309,A325,A328,A331,A339,A323,A326,A340,A315,A21,A22,A23,A25,A26,A24
5.78_245.2732m/z,245.2731513,5.782316667,100 - 45.6 - 3.82,8239.6133,19161.42153,8958.047123,19527.73644,2771.403338,101534.1395,46348.99743,44369.43845,18115.71173,325.8150864,64113.83572,8481.817684,11388.24375,8872.737706,5329.07217,47268.18822,75334.78672,28512.51018,71733.00674,49170.5789,17037.26872
3.12_627.3635m/z,627.3635425,3.1222,100 - 39.5 - 9.45 - 2.44 - 0.405,5.721672522,0.078153602,7.160288475,0.045981528,0,18.14891739,0.561488226,23.07232324,0,0.385885785,1.841263213,4.130492963,8.482700632,0.040958085,0,5.888791994,25.0443241,4.226836576,19.79798574,14.80845241,3.387576903
3.78_996.1757m/z,996.1757204,3.7764,97.3 - 100 - 56.7 - 22.5 - 4.46 - 0.17,0,618.6312267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.78_245.3412m/z,245.3411544,5.782316667,100 - 29.2,4008.259929,9899.215822,4232.411617,9992.083902,1251.282201,56637.36993,25882.20258,24806.80172,9014.455003,113.703025,35810.77956,4189.257414,5539.611437,4318.933479,2592.631934,26423.19906,41892.56556,15316.31543,40307.87141,26857.90479,8615.878492
3.78_117.2729n,118.2802015,3.78355,100,0,0,0,0,0,0,0,0,0,9.505200559,0,0,0,0,0,0,163.9832033,110.9553286,0,0,0
5.78_245.3927m/z,245.3926885,5.782316667,100 - 0.798,1427.79043,5103.777106,1507.430184,5123.720573,0,35022.92785,15188.5463,14883.21222,4176.099945,0,22484.62591,1379.076824,2664.507106,1467.413484,467.0993051,16038.64972,24786.02618,8676.691704,23937.37603,15242.13815,4205.555101
1.74_559.8537m/z,559.8536851,1.7417,100 - 50.2,0,0,0,0,0,0,5.035608119,0,0,0,12.99446188,0,0,0,5.229484958,84.54261593,0,4.04372104,21.50449884,18.12024893,6.74992465
5.58_135.3374m/z,135.3373802,5.575733333,100 - 89.7,338.6422095,150.2959244,40.67389816,279.1327447,81.13257827,0,0,0,14.43175355,0,23297.65209,0,0,0,156.7128358,16715.68695,23158.51379,13200.76313,23299.23076,9772.924214,1206.212734
6.13_146.1817m/z,146.181656,6.131133333,100,12585.01974,10371.63516,623.5733336,10366.10187,5577.180962,16919.17407,14810.20847,3682.377548,16911.14431,0,23338.87909,39.30830446,7430.593427,6925.301172,1013.702147,15076.26927,22884.77554,3545.624276,19393.20369,12526.71919,956.4292129
1.01_265.4166m/z,265.4165855,1.0094,100 - 44.3 - 5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.78_245.5412m/z,245.5412017,5.775166667,100,2478.36616,5439.169118,2618.751483,5517.295352,702.1646485,21080.47785,10913.2153,10272.04113,5134.725327,79.04637236,13276.55133,2570.380857,3360.492173,2655.518114,1498.203851,10585.50096,17845.42381,7505.658347,16593.71707,12758.83597,4977.403999
2.93_936.3092m/z,936.3092177,2.930083333,100 - 34.6 - 36.9 - 10.9 - 4.66,3794.965785,65.34588958,4702.204146,262.0476238,9.005032551,6113.484495,566.5244483,7834.307298,42.97643318,771.8050891,0,295.4687396,3475.165744,691.65024,0,2882.787327,31637.16862,0,0,39.06931469,4803.217209
5.60_671.2083m/z,671.2083011,5.6043,100 - 31.9 - 29.2 - 8.07 - 3.51 - 0.596,91.81273872,75.88975793,4.792277324,160.2471307,81.65774599,0,5.621764641,0,24.71743479,12.90047944,42868.3222,0,0,0,213.2003918,14106.41682,14822.75378,7262.256063,20248.92184,4195.646929,1035.670667
7.37_303.2103m/z,303.2103063,7.369066667,100 - 5.18,320.3955726,4258.60582,1099.089364,5175.800481,1939.530301,420.5389329,7672.499684,14.68603664,6403.950563,59.59521388,520.8399632,232.3663159,7201.789082,215.9306972,0,3850.798343,19705.63634,3806.120557,8242.582095,14441.83676,4979.721943
3.78_235.3234m/z,235.3233672,3.78355,100 - 5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.35_799.2994m/z,799.2993509,7.354783333,100 - 41 - 17.4 - 1.79,0,0,0,0,0,2.223964873,0,1.765030726,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78_938.1383m/z,938.1383053,3.78355,100 - 20.3,0,198.6653675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.60_599.8110m/z,599.8109799,4.601566667,100 - 73.2 - 27.9 - 7.13,12975.25341,2403.8277,0,6941.09036,0,0,0,0,0,7.367928791,0,0,0,0,0,11312.41059,24932.47834,0,7788.338475,6.199488097,7779.051159
5.60_135.2561m/z,135.2560634,5.6043,100,86.02792604,0,0,20.50003973,0,0,0,0,0,0,14629.33885,0,0,0,0,9830.770981,13234.12989,7537.062457,13160.13358,5299.571287,552.990976
5.58_606.2244m/z,606.2244031,5.575733333,100 - 25.1 - 5.98 - 0.154,348.2674205,699.1716201,135.4565166,365.8208729,328.4108756,7433.064477,11982.40476,10256.50511,19775.21625,21245.04667,1949.614328,525.8801221,543.6951084,785.3811913,1337.534536,4506.290916,7568.764912,8272.192809,6611.918967,2876.545703,229.3027643
3.78_879.0982m/z,879.0982486,3.78355,100 - 90.3 - 42 - 7.54 - 0.0991,0,78.69394698,0,0,0,21.24496327,0,0,0,0,185.0784621,0,0,0,20.07270795,0,0,0,0,0,0
5.97_275.2936m/z,275.2935537,5.967283333,100 - 25 - 3.41,0,0,0,0,0,0.08771619,0,0,0,0,0,0,0.110839632,0,0,0,0,0,0,0,0
4.64_409.0312m/z,409.0311876,4.637283333,100,26.2276287,23.75903388,24.65861423,5.0003457,0,38.07780302,29.86279252,32.4064039,412.0473524,98.98854631,260.5044166,4.829967928,0,0,0,119.6740645,13.76624563,273.2151352,636.5109138,591.417813,0
5.48_693.1839m/z,693.1838659,5.4836,100 - 27.2 - 10.5,1362.641765,1560.005995,403.0671993,1691.189851,1117.419076,2154.436236,2434.328976,3246.870768,5493.336673,4125.526109,10293.26108,1033.864346,968.5345462,1536.222171,3587.52731,6792.793245,9303.654471,6009.906809,10459.28267,3017.794125,3725.703007
1.29_793.4832m/z,793.4832376,1.29385,100 - 45.7,0,0,8.193124291,0,0,0.940124077,12.90865646,22.62281518,0,20.71718266,0.028991162,6.813060782,837.9972159,0,42.80606121,0,0.351144778,40.81076883,2.503218742,1.674832587,0
2.92_765.2302n,788.2197063,2.92295,100 - 29.2 - 29.2 - 2.32 - 0.102,3047.654959,381.0130404,2893.969026,458.8917736,421.3478684,6788.143962,2241.185769,7306.82143,768.3366041,1742.451412,34.07487882,953.462415,3259.335727,1621.514886,0,2628.163295,16323.58078,0,0,626.5756854,3326.6936
