variable_id,mz,rt,isotope.dist,M62,M61,M63,M64,M65,A306,A309,A325,A328,A331,A339,A323,A326,A340,A315,A21,A22,A23,A25,A26,A24
1.16_235.2884m/z,235.288416,1.158716667,100 - 47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_235.3573m/z,235.3572674,1.158716667,100 - 30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_235.4103m/z,235.4102795,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_233.2722m/z,233.272211,1.158716667,100 - 44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_235.4975m/z,235.4975079,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_233.3403m/z,233.3402659,1.158716667,100 - 17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29_235.5624m/z,235.5623751,1.286566667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.01_868.5084n,903.4988122,4.011283333,89.3 - 100 - 48.6,0,152.2610348,0,0,0,0,10.53313371,0,59.50308646,4.192687825,0,0,0,0,0,0,0,0,0,0,0
1.16_156.2461n,191.2154764,1.158716667,100 - 9.73,0,0,0,0,0,0.009322434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.66_235.5132m/z,235.5132241,1.663666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.55_287.1244m/z,287.1243702,5.554316667,100 - 14.6 - 1.52,0,3.376849199,0,0,1.471591221,0,0,0,0,0,0,0,0.229451511,0.114937088,0,0,0,0,0,0,0.070102637
1.66_235.3569m/z,235.3568883,1.663666667,100 - 17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.66_235.5536m/z,235.553564,1.663666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77_235.3570m/z,235.3570104,1.7701,100 - 18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29_841.3073m/z,841.3072696,1.286566667,100 - 60.7,0,0,0,0.636445158,53.09471867,0,2.477445181,26.82792544,0,0,0,0,0,0,0,0,0,0,0,6.79637724,0
1.39_235.5107m/z,235.5107384,1.38585,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_191.2836m/z,191.2835838,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122345197,0,0,0,0,0
4.21_393.2496m/z,393.2495996,4.209833333,100 - 23.3 - 9.1 - 1.18 - 0.157,0,31.20042479,17.46958272,0,0,0,0,0,0,0,0,10.81278223,0,0,0,0,0,0,0,0,0
1.39_235.5569m/z,235.5569142,1.38585,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.21_379.2342m/z,379.234196,4.209833333,100 - 22.7 - 1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.95_321.2174m/z,321.2174077,3.95415,100 - 21.7 - 2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_210.3627n,191.3448518,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715412732,0,0,0,0,0
6.03_487.2040m/z,487.2040094,6.0314,100 - 22.9 - 1.13,860.6571712,0,0,2960.124594,0,1691.880772,895.2730616,483.2438454,1078.590357,507.5575336,6434.996615,544.9280935,0,0,27.36462162,1712.351794,2849.766966,1566.540964,1678.39282,1467.4802,188.9839048
3.92_971.5997m/z,971.5997167,3.91845,100 - 42.9 - 45.2 - 49.6 - 12.5,0,0,0,0,0,0,0,0,0,0,3.76058902,0,0,0,0,0,0,0,0,0,0
3.90_854.5215m/z,854.5215199,3.904166667,100 - 37 - 39 - 32.6 - 3.45,0,0,156.1226506,0,0,0,0,0,0,0,0,0,0,0,0,0.508928011,5.825770539,3.053262569,2.110415365,4.889283897,0
1.45_235.5124m/z,235.5124156,1.450116667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.98_410.2503m/z,410.2502991,3.982716667,100 - 18.1 - 4.39,14.76429896,0.676336023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93_393.2497m/z,393.2496887,3.932733333,100 - 23.5 - 9.56 - 28.7 - 5.03,6.041879474,8.425827272,0,0,6.229518048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.54_779.2462m/z,779.2461822,6.536466667,100 - 29.9 - 3.89,0,0.008563484,0.022264822,0,0,0,0,0,0,0.176529591,0,0.036273797,0,0.007696209,0,0.008597851,0.003093695,0,0,0,0
1.16_163.1485m/z,163.148475,1.158716667,100 - 7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_177.1970m/z,177.1970304,1.158716667,100 - 1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.67_161.1326m/z,161.132633,1.670816667,100 - 11.7,0,0,0,0,0,0,0,0,0,0,0,0.145625344,0,0,0,0,0,0,0,0,0
3.41_347.2331m/z,347.2330846,3.413316667,100 - 21.8 - 7.16 - 0.689,0,0,0,0,0,0,0,0.080904421,0,0,0,0,0,0,0,0,0.025896255,3.091975491,0,0,0
1.45_235.5545m/z,235.5545214,1.450116667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.07_335.2329m/z,335.2329308,4.07485,100 - 21.9 - 1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.92_814.3018m/z,814.3017892,2.91525,100 - 42.8 - 8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.38_552.2203m/z,552.2203261,2.381566667,100 - 26.5,15.48868917,0,14.45027469,153.5729413,0,41.48866003,26.81144617,671.7470954,564.8788211,1646.185928,812.0143155,222.6141123,30.26570036,0,0,1317.297264,709.5048542,621.9886453,2251.341638,2308.13882,0
3.63_361.2487m/z,361.2486952,3.634,100 - 23.6 - 16.8 - 3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04_417.4270m/z,417.4270235,1.037066667,100 - 0.418,0,251.3111353,4.013370012,25.12422624,1321.789546,0,0,0,41.04369643,0,94.42198858,0,0,602.8252944,98.70855538,726.9528328,560.1186559,21.34845699,465.5237646,450.3395752,649.4957707
2.13_580.2516m/z,580.2516387,2.125883333,100 - 30 - 3.83,2042.73427,0,28.3805401,0,9.274310219,1736.928997,2746.833224,570.1132071,396.5779097,1447.329481,590.2462964,84.05569321,22.14616889,0,0,1029.24738,541.2965365,602.8123464,1714.51655,2359.695217,96.54298903
2.82_625.3485m/z,625.3484753,2.823116667,100 - 38.5 - 0.509,0,0,0,0,0,15.63613054,0,15.88225344,4.980839328,0,5.099997595,7.77999285,11.48778966,0,0,0,6.410440816,0,0,13.22533702,0
8.43_845.3616m/z,845.3616028,8.428366667,69.2 - 100 - 74.2 - 30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.25_214.1306n,213.1233363,7.254416667,100 - 10.1,378.232462,909.8905141,323.109324,627.6084176,1233.330851,0,193.5506055,5.696206039,53.78722719,173.2862645,7.737961578,23.7068937,1520.204256,218.2310233,164.1325179,192.9718486,374.5274557,64.79802777,160.8034405,131.9686995,3324.357938
4.16_319.2019m/z,319.2018757,4.16055,100 - 22 - 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77_860.3264n,841.3085176,1.7701,100 - 54.2 - 2.57,17.11258493,0,0,0,0,0,0,0,0,0,0,21.70987925,0,0,0,0,0,0,0,0,0
6.89_719.7488m/z,719.7488274,6.891433333,100 - 81.8 - 31.6 - 3.01,0,0,0,998.5846755,0,761.6529159,799.4688434,548.081211,590.8137987,1076.388591,1444.191824,1300.38963,0,0,0,420.4489602,693.6439327,1074.813413,279.5196341,1360.10445,0
3.06_442.1837m/z,442.1836664,3.057383333,100 - 16.3,0,0,0,0,0,6.83161604,1.55678668,308.4557458,228.7836717,699.1981401,347.4015708,0,0.223491682,0,0,706.9623542,594.0201831,289.5348317,1115.934605,1176.235954,0
5.45_257.1136m/z,257.1136461,5.4479,100 - 11.1,163.8169443,37.38931394,23.77425473,959.3624983,72.67412786,47.40552145,2000.679781,0,537.6714428,1039.097191,162.2316487,113.1929705,143.3877024,111.7260943,49.10724857,622.7703711,816.4169463,143.4319365,501.9678495,799.1879787,729.2337159
3.65_389.2548m/z,389.2548017,3.648283333,100 - 24.9 - 18.8 - 3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93_775.5006m/z,775.500618,3.932733333,100 - 26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.32_391.2342m/z,391.2342474,4.316966667,100 - 23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.21_146.9082m/z,146.9081944,1.208,100 - 3.7,0,0,0,0,0,55.04306105,176.149006,33.79845626,14.74813475,0,34.08310192,0,0,0,0,0,72.63937764,7.473106219,0,0,0
8.97_712.2724m/z,712.2724391,8.969183333,97.6 - 100 - 47.1 - 5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71_841.3079m/z,841.3078942,1.705816667,100 - 58.6,1.226576998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.65_851.4024m/z,851.4024369,2.645283333,100 - 40,0,0,0,0,0,0,0,0,0,0,87.13247377,0,0,0,11.06746201,0,0,0,0,0,0
11.02_173.1288m/z,173.1287958,11.01806667,100 - 3.69,0,0,0,489.1746782,2.492063769,0,284.2214967,1.472290124,0,392.7486753,4.302645371,0,0,0,0,595.708741,860.6907026,548.1736728,377.0202749,455.4125096,0
8.23_315.1555m/z,315.1554569,8.22885,100 - 13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.50_618.2920m/z,618.2920131,3.499016667,100 - 38.9 - 1.78,0,0,0,0,0,0,0,0,0,0,9.014928746,0,0,0,0,0,0,0,0,0,0
1.04_417.5289m/z,417.5288807,1.037066667,100,0,0,0,0,501.068929,0,0,0,0,0,0,0,0,76.95351655,0,203.3775379,119.6961094,0,95.26565701,114.5994774,0
2.26_549.3333m/z,549.3333483,2.26085,100 - 26.7,0,0,0,350.8887978,0,0,0,0,0,0,0,5.36662202,0,0,0,896.7271763,518.9557112,307.4657519,805.3602497,119.8649888,0
3.66_456.2929m/z,456.2928751,3.662566667,100 - 24.9 - 0.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.61_766.3362m/z,766.3361975,3.605433333,100 - 43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.03_247.1655m/z,247.1654743,11.0252,100 - 6.81,0,0,0,306.059598,0,0,214.4281614,0,0,312.6015229,2.306935336,0,0,0,0,525.6748258,759.712179,392.4776482,312.0349296,376.8402266,0
1.07_409.5207m/z,409.5207035,1.06565,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.20_749.3661m/z,749.3660817,1.20085,100,0,0.000532757,18.05894031,0,0,1.82018592,10.19049067,1.874069722,10.40592181,2.582627318,1.108713185,0,2.800139441,0,0,0,0,0,0,0.541194644,0
1.28_80.0266m/z,80.02662752,1.279416667,100 - 68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
