variable_id,mz,rt,isotope.dist,P201,P203,P204,P205,P208,P209,P210,P202,P206,P207,P11,P12,P13,P16,P19,P20,P14,P15,P18,M70,M66,M67,M68,M69
5.78_245.2732m/z,245.2731513,5.782316667,100 - 45.6 - 3.82,0,0,5423.126319,0,0,0,0,0,0,0,0,0,0,79.67445613,0,17.91878515,0,0,0,0,0,0,0,0
3.12_627.3635m/z,627.3635425,3.1222,100 - 39.5 - 9.45 - 2.44 - 0.405,0,0.720840197,0,2.862540156,12.55598052,0,0,0,0,0,0,0,15.78744517,0,0,1.578340424,32.81444948,0,1.618092846,0,0,0,0,0
3.78_996.1757m/z,996.1757204,3.7764,97.3 - 100 - 56.7 - 22.5 - 4.46 - 0.17,17096.03954,13034.11464,12202.28703,17317.85664,19417.53752,13432.20443,15428.98952,8086.820613,11758.87226,5969.950568,20535.02948,4145.868733,19113.97676,31015.98205,20097.68094,20955.23912,23590.63098,39306.19408,27880.99175,6303.410271,11753.55973,5275.854958,5283.142568,8918.489455
5.78_245.3412m/z,245.3411544,5.782316667,100 - 29.2,0,0,2613.167113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78_117.2729n,118.2802015,3.78355,100,22452.7258,17441.20162,15758.112,20743.48624,25575.77598,16249.82515,23133.295,7642.745398,10982.37761,4996.968178,25742.23969,16503.71294,24317.03689,34210.45983,23622.90228,22986.19858,10644.85649,14796.67629,6879.156074,6048.016517,7080.2555,1361.543721,2228.552052,8077.096105
5.78_245.3927m/z,245.3926885,5.782316667,100 - 0.798,0,0,863.6414578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.74_559.8537m/z,559.8536851,1.7417,100 - 50.2,0,0,0,0,0,0,0,0,4.321905354,0,0,4.143798947,0,42.94296496,48.10107295,17.14630944,18.46176744,8.360229367,17.81976576,0,0,4.293456793,2.160308897,4.763458252
5.58_135.3374m/z,135.3373802,5.575733333,100 - 89.7,168.2800673,0,0.116666229,149.9830365,986.6081186,2.283524892,285.6179154,5.616241455,0,0,114.6496436,24.8341217,213.0254187,145.3897706,99.6269681,53.19274026,0,24.93204451,0,0,0,0,0,0
6.13_146.1817m/z,146.181656,6.131133333,100,3773.781444,5881.879865,2422.125571,6324.250167,10862.39498,343.0017853,11212.86843,3001.529341,5233.587935,3126.757302,10370.94016,14045.67188,4225.926219,9075.333261,2189.154977,0,6606.72007,2747.430243,1958.534094,1049.265525,6480.728558,2014.900152,75.15757124,664.0843822
1.01_265.4166m/z,265.4165855,1.0094,100 - 44.3 - 5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6606.72007,0,0,0,0,0,0,0
5.78_245.5412m/z,245.5412017,5.775166667,100,0,0,1565.248228,0,0,0,0,0,0,0,0,0,0,2.837989807,0,0,0,0,0,0,0,0,0,0
2.93_936.3092m/z,936.3092177,2.930083333,100 - 34.6 - 36.9 - 10.9 - 4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.60_671.2083m/z,671.2083011,5.6043,100 - 31.9 - 29.2 - 8.07 - 3.51 - 0.596,0,0,0,26.07255506,194.4761448,0,3.903608846,0.515725057,1.33572047,0,0,0,17.87640357,0,0,0,0,105.3412303,0,0,0.006134373,0,0.024386078,2.18610406
7.37_303.2103m/z,303.2103063,7.369066667,100 - 5.18,2.200104613,47.7070922,3132.141861,17.62859803,0,0.441937075,0.528511287,0.678576338,2.159495813,0,1.368563851,29.47549446,28.2283174,33.05741127,17.14202795,41.91752725,9.410975047,0,5.454842998,10.55922292,0,0.035184973,0,0.873385642
3.78_235.3234m/z,235.3233672,3.78355,100 - 5.05,5346.109193,2905.299256,3468.919577,5405.211592,6920.376237,3365.157852,4493.184596,1438.086307,4546.45696,1815.59788,7744.057831,2457.363324,7186.889709,11702.56997,6806.714652,6856.265469,8464.170785,11982.55542,5449.615834,1167.946267,4489.708982,819.3839737,1406.738889,4208.739176
7.35_799.2994m/z,799.2993509,7.354783333,100 - 41 - 17.4 - 1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78_938.1383m/z,938.1383053,3.78355,100 - 20.3,5438.752321,4264.297264,3729.687447,5347.814149,6095.028595,4060.450988,4831.982345,2582.881464,3543.464472,1813.251344,6433.300891,1300.341257,5917.535893,9585.70041,6106.021592,6550.627978,9802.802684,12812.66894,8413.49633,1873.842499,3517.96334,1713.08149,1903.864245,2770.924389
4.60_599.8110m/z,599.8109799,4.601566667,100 - 73.2 - 27.9 - 7.13,0,0,0,0,0,0,0,2.170013428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.60_135.2561m/z,135.2560634,5.6043,100,0,0,0,0,401.3615422,0,32.08257294,0,0,0,0,0,41.20186567,0,0,0,0,0,0,0,0,0,0,0
5.58_606.2244m/z,606.2244031,5.575733333,100 - 25.1 - 5.98 - 0.154,7936.072994,4978.994444,6073.262471,8799.710536,8867.512733,4312.527067,8719.003728,488.7097338,690.1775641,345.0109381,10170.57972,0,16827.37703,1544.633857,1519.063745,61.26730371,0,1353.278751,0.020124667,310.0758222,505.7002753,344.8927931,520.8792656,828.3116411
3.78_879.0982m/z,879.0982486,3.78355,100 - 90.3 - 42 - 7.54 - 0.0991,5107.789739,4142.71963,3300.260919,5017.072943,5788.871396,3758.345521,4738.367457,2162.957197,3089.860698,1483.454334,5811.930822,1144.927705,5621.176486,9002.236453,5675.506028,5865.013755,7850.040812,9806.154697,5898.380624,1731.685588,3156.114432,1507.179639,1636.560373,2359.695976
5.97_275.2936m/z,275.2935537,5.967283333,100 - 25 - 3.41,1245.012132,0,0,836.9799893,12014.848,6413.744966,413.7021744,0,0.303466419,6323.501054,11294.8365,0,1106.417096,5012.977996,5224.730792,22051.64924,0,8131.258161,1852.772051,7738.216793,107.9173793,644.3002028,737.5475296,313.5466612
4.64_409.0312m/z,409.0311876,4.637283333,100,117.5758701,218.4036095,3730.372762,2006.575471,314.6519719,88.32313448,167.0586247,62.52092881,47.37106113,18.4154659,237.7720302,170.0227843,136.5664508,420.7937527,245.1030431,258.2558624,1177.719891,395.6130555,41712.12671,9.376678158,273.2289404,0,48.54736926,366.0212315
5.48_693.1839m/z,693.1838659,5.4836,100 - 27.2 - 10.5,1940.10398,1170.20695,1121.045336,2102.452115,2038.491598,1179.788879,1964.664075,905.4298424,1329.003312,788.1134261,1890.455366,0.005382454,3165.898641,166.8769522,225.9616987,0,7.477500879,3652.927918,1.037606721,510.5411551,1086.011946,804.3191776,1180.658313,1767.842195
1.29_793.4832m/z,793.4832376,1.29385,100 - 45.7,0.001321009,0,0.057845459,0,2.517095198,2.086303829,0,0,0,0,0.742064765,15.12081167,0,0,0,0,0,0,0,0,0,0,0,0
2.92_765.2302n,788.2197063,2.92295,100 - 29.2 - 29.2 - 2.32 - 0.102,0,0,0,0,0,84.91543555,7.664520264,0,0,0,0,0,0,0,0,0,264.9454855,0,0,0,0,0,0,0
6.13_146.2422m/z,146.2421972,6.131133333,100,813.1828967,1962.150495,260.5184791,2128.275897,5371.470941,0,5759.930984,589.4784081,1824.968943,688.6567334,5073.337742,8081.851805,1088.661543,4066.714444,175.3457253,0,2511.222379,458.1508107,183.2287891,18.17745972,2571.762698,215.6972575,0,0
7.38_303.2969m/z,303.2969044,7.38265,100 - 27.2,0,0,1189.945694,0,0,0,0,0,0,0,0,0.00152209,0,0,0,0,0,0,0,0,0,0,0,0
7.97_247.2897m/z,247.2897045,7.973266667,100 - 25.3 - 0.267,4747.634684,1211.805282,1941.41005,4582.939079,4667.059323,6190.492489,4094.780747,2239.605808,605.8155694,593.4783908,5556.562427,454.0393999,5391.350858,3750.78403,3205.939159,2497.626834,13.09143066,1718.212779,80.08382244,1129.937082,630.6380715,261.547554,346.6844568,200.0347727
2.92_783.2640m/z,783.2639889,2.92295,100 - 28.7 - 34 - 7.42 - 1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78_235.3878m/z,235.3877857,3.78355,100,2534.944506,1183.415973,1487.009856,2577.333447,3436.000443,1454.864737,2070.600651,488.6069516,2242.6805,707.1701191,3819.789694,937.5118987,3593.908763,5971.192818,3294.145191,3393.967134,4329.127902,6107.847109,2757.028721,363.2159124,2186.420356,185.3818858,496.6561334,2041.431936
5.97_275.3646m/z,275.3646035,5.967283333,100 - 34.2,460.5898285,0,0,208.553422,7422.669176,3661.696237,55.16370082,0,0,3745.208613,7003.305018,0,270.9436164,2851.171107,2914.484247,14080.84733,0,4967.347459,841.8864657,4745.516414,0,98.69102383,234.6871805,22.83914093
6.24_738.2664m/z,738.266435,6.23755,100 - 30.7 - 5.98,2198.19773,1419.639487,1726.404328,2253.90729,7386.551465,1049.493975,3912.400325,2543.587562,3501.50493,1888.002745,2695.086524,0,7547.773072,589.1877154,574.6726297,0,90.33124068,10856.44722,812.4865867,1105.199745,1446.538625,1498.982407,1755.558029,2847.084784
10.21_189.2328m/z,189.232837,10.2078,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.59_738.2663m/z,738.2663183,6.593216667,100 - 31 - 6.88,3320.137042,1134.08348,1852.406001,493.0175938,4950.601264,35.17731156,3043.117856,7418.897127,3429.948062,1332.996993,5286.9073,0,28.67117321,0,0,0,0,8502.648304,0,0,2806.924877,1680.541556,0,0
