sample_id,group,location
P201,Pocillopora,MogMog
P203,Pocillopora,MogMog
P204,Pocillopora,MogMog
P205,Pocillopora,MogMog
P208,Pocillopora,MogMog
P209,Pocillopora,MogMog
P210,Pocillopora,MogMog
P202,Pocillopora,MogMog
P206,Pocillopora,MogMog
P207,Pocillopora,MogMog
P11,Pocillopora,Falalop
P12,Pocillopora,Falalop
P13,Pocillopora,Falalop
P16,Pocillopora,Falalop
P19,Pocillopora,Falalop
P20,Pocillopora,Falalop
P14,Pocillopora,Falalop
P15,Pocillopora,Falalop
P18,Pocillopora,Falalop
M70,Pocillopora,Bulbul
M66,Pocillopora,Bulbul
M67,Pocillopora,Bulbul
M68,Pocillopora,Bulbul
M69,Pocillopora,Bulbul
