variable_id,mz,rt,isotope.dist,P201,P203,P204,P205,P208,P209,P210,P202,P206,P207,P11,P12,P13,P16,P19,P20,P14,P15,P18,M70,M66,M67,M68,M69
1.16_235.2884m/z,235.288416,1.158716667,100 - 47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_235.3573m/z,235.3572674,1.158716667,100 - 30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_235.4103m/z,235.4102795,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_233.2722m/z,233.272211,1.158716667,100 - 44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_235.4975m/z,235.4975079,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_233.3403m/z,233.3402659,1.158716667,100 - 17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29_235.5624m/z,235.5623751,1.286566667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.01_868.5084n,903.4988122,4.011283333,89.3 - 100 - 48.6,872.5394173,1853.305027,4594.06868,1171.331403,3148.258537,2772.16741,3290.537059,8255.450018,11179.19958,9489.995707,2145.18939,13590.66463,3109.654804,4051.524674,3046.02529,2741.010675,1918.083671,16612.12019,11125.73527,1186.376288,15444.91562,8779.181215,19400.56664,20679.87431
1.16_156.2461n,191.2154764,1.158716667,100 - 9.73,0.038208755,0,0,0,0,0.186172738,0.021608867,0,0,0,0,0,0,0,0,0.000876731,0.598489854,0,0,0,0,0,0,0
1.66_235.5132m/z,235.5132241,1.663666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.55_287.1244m/z,287.1243702,5.554316667,100 - 14.6 - 1.52,853.6330213,52.46811384,18.49479446,33.61899221,853.5071458,146.8613901,351.9816164,4415.154122,13.20711337,10085.25793,3950.542287,208.4415156,3856.203417,930.5782354,1543.110415,1261.180432,213.6381377,11724.73391,5376.287437,1370.505452,9091.095,8638.06473,16865.889,6265.099388
1.66_235.3569m/z,235.3568883,1.663666667,100 - 17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.66_235.5536m/z,235.553564,1.663666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77_235.3570m/z,235.3570104,1.7701,100 - 18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29_841.3073m/z,841.3072696,1.286566667,100 - 60.7,0,0,0,0,0,0,0,0,0,0,8.929652263,0,0,0,0,0,137.2844135,15.36199022,551.2908324,0,0,35.57847063,0,21.30497887
1.39_235.5107m/z,235.5107384,1.38585,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_191.2836m/z,191.2835838,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.21_393.2496m/z,393.2495996,4.209833333,100 - 23.3 - 9.1 - 1.18 - 0.157,0,0,0,0,0,0,0,13.37684663,20.64194381,0,0,0,0,0,0,0,0,0,5.532676933,0,0,0,123.9532923,5.208528601
1.39_235.5569m/z,235.5569142,1.38585,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.21_379.2342m/z,379.234196,4.209833333,100 - 22.7 - 1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.95_321.2174m/z,321.2174077,3.95415,100 - 21.7 - 2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_210.3627n,191.3448518,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.03_487.2040m/z,487.2040094,6.0314,100 - 22.9 - 1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.92_971.5997m/z,971.5997167,3.91845,100 - 42.9 - 45.2 - 49.6 - 12.5,2126.113171,933.6516155,760.9413865,1375.280953,2195.269318,2095.261358,1983.193084,1779.874417,1414.676467,1445.876882,1576.917296,529.1677153,1114.634788,1454.386502,1191.219435,770.286398,5985.249025,6725.989359,1151.397994,954.4219319,2849.168741,620.2122671,1262.753149,1931.860075
3.90_854.5215m/z,854.5215199,3.904166667,100 - 37 - 39 - 32.6 - 3.45,2144.878663,906.1640916,674.7732051,1341.716278,2134.081334,2073.621155,2014.031925,1669.690605,1353.002087,1484.274951,1477.523233,350.2756365,1025.037642,1333.666857,1089.720083,579.831183,5936.082997,6818.33455,968.99225,956.4474134,2366.897644,921.5794104,1406.188907,1694.473325
